year,metric,mean,median,std,min,p25,p75,max
2019,pct_some_college_or_associate,26.50232558139535,27.1,10.020870800771686,1.7,21.0,34.4,44.2
2019,pct_speak_language_other_than_english_at_home,18.090697674418603,17.4,12.716315241106008,0.7,7.449999999999999,26.0,49.9
2019,pct_vacant_housing_units,11.704883720930233,10.75,6.447105431008415,1.47,6.9399999999999995,16.985,25.91
2019,pct_white_non_hispanic,65.48,64.95,19.72541121546133,13.63,52.81,76.38499999999999,97.39
2019,poverty_rate,24.381395348837213,15.0,24.115152871309867,1.1,7.949999999999999,28.5,89.7
2019,total_population,4881.906976744186,4637.0,1658.6334853606718,1871.0,3722.0,6110.0,9366.0
2019,unemployment_rate,5.065116279069767,4.3,2.925982433379081,0.5,2.85,7.0,12.2
2021,avg_household_size_v2,2.303125,2.315,0.3682919531648193,1.57,2.0775,2.54,3.1
2021,employment_population_ratio,58.64166666666667,61.8,12.530300862960635,28.2,52.425,67.0,81.4
2021,labor_force_participation_rate,61.800000000000004,64.95,13.095524653768049,30.2,56.2,71.125,85.6
2021,median_household_income,60749.46808510638,59701.0,32079.730008656672,3416.0,39423.0,83541.0,126013.0
2021,pct_age_18_24,23.952083333333334,10.75,28.049143724051227,3.0,6.875,20.725,96.9
2021,pct_age_65_plus,13.118749999999999,12.600000000000001,9.251029988658766,0.0,6.75,17.825,38.9
2021,pct_age_under_18,17.685416666666665,19.6,9.803993749473543,0.0,11.725000000000001,24.475,43.2
2021,pct_bachelors_or_higher,49.37708333333333,51.85,22.049839480125264,9.8,31.825000000000003,65.625,92.0
2021,pct_black_non_hispanic,12.667291666666666,7.835,14.519623513609103,0.0,3.11,15.537500000000001,66.35
2021,pct_family_households,49.04895833333333,55.58,23.336728994622185,1.47,38.7675,65.865,87.43
2021,pct_hh_income_100k_plus,26.947916666666668,29.5,18.814197780414858,0.0,8.525,41.8,67.0
2021,pct_hh_income_25k_50k,20.352083333333333,19.05,9.280315236376662,4.1,14.425,26.225,45.2
2021,pct_hh_income_50k_100k,25.21875,25.6,10.981176471677689,0.0,19.05,31.425,49.2
2021,pct_hh_income_under_25k,27.493749999999995,19.85,23.426439021173618,2.1,10.825,30.6,88.0
2021,pct_high_school_grad,19.327083333333334,18.25,11.312499951020726,1.8,9.025,28.75,42.0
2021,pct_hispanic,6.210000000000001,5.695,4.828478461722611,0.02,2.73,8.924999999999999,23.04
2021,pct_households_with_65_plus,21.131249999999998,21.65,13.613293819536155,0.0,11.8,29.2,56.1
2021,pct_households_with_own_children_under_18,20.920624999999998,22.015,11.952978157559999,0.0,14.8775,27.9225,46.79
2021,pct_less_than_high_school,5.3500000000000005,3.5,6.336990358877836,0.0,1.425,6.35,31.1
2021,pct_nonfamily_households,50.95104166666667,44.42,23.336728994622185,12.57,34.135,61.2325,98.53
2021,pct_one_person_households,37.43958333333334,34.8,13.788026559970056,11.1,28.95,45.599999999999994,69.7
2021,pct_owner_occupied,50.095625000000005,52.245000000000005,29.969487810122214,0.0,29.8625,75.4375,88.55
2021,pct_rent_burden_30_plus,44.64145833333333,44.38,13.834818392580141,17.3,36.28,55.477500000000006,68.56
2021,pct_rent_burden_50_plus,23.339375,19.73,14.095771722475066,4.02,13.305,32.525,57.09
2021,pct_renter_occupied,49.904374999999995,47.754999999999995,29.969487810122214,11.45,24.5625,70.13749999999999,100.0
2021,pct_senior_living_alone_households,8.55,8.2,6.027560813604631,0.0,5.175000000000001,11.175,27.1
2021,pct_some_college_or_associate,25.954166666666666,26.6,10.828016425750013,0.0,18.599999999999998,33.5,47.6
2021,pct_speak_language_other_than_english_at_home,17.408333333333335,16.45,12.585432871672547,0.9,6.25,25.6,54.9
2021,pct_vacant_housing_units,11.891666666666667,9.85,8.172998182477476,0.0,5.995,15.765,32.78
2021,pct_white_non_hispanic,65.84270833333333,64.79499999999999,20.680960998658023,11.83,53.975,79.7125,97.1
2021,poverty_rate,22.745833333333334,12.35,24.34961626097499,1.2,6.3999999999999995,29.75,90.5
2021,total_population,4303.8125,4153.5,1612.668221886628,1681.0,3409.5,4900.0,8131.0
2021,unemployment_rate,5.014583333333333,4.25,3.575150024129821,0.0,2.0,7.125,15.5
2022,avg_household_size_v2,2.2979166666666666,2.255,0.3685275955101358,1.5,2.0225,2.585,3.08
2022,employment_population_ratio,58.67499999999999,60.95,11.644969692916174,33.6,52.45,65.925,82.4
2022,labor_force_participation_rate,61.61875,64.5,12.02286219772696,35.2,55.5,69.975,85.4
2022,median_household_income,64875.625,61550.0,34750.04752461162,3388.0,41409.5,94280.5,135490.0
