Column Name,Label
S0101_C03_013M,Margin of Error_Male_Total population_AGE_55 to 59 years
S0101_C03_014E,Estimate_Male_Total population_AGE_60 to 64 years
S0101_C03_014M,Margin of Error_Male_Total population_AGE_60 to 64 years
S0101_C03_015E,Estimate_Male_Total population_AGE_65 to 69 years
S0101_C03_015M,Margin of Error_Male_Total population_AGE_65 to 69 years
S0101_C03_016E,Estimate_Male_Total population_AGE_70 to 74 years
S0101_C03_016M,Margin of Error_Male_Total population_AGE_70 to 74 years
S0101_C03_017E,Estimate_Male_Total population_AGE_75 to 79 years
S0101_C03_017M,Margin of Error_Male_Total population_AGE_75 to 79 years
S0101_C03_018E,Estimate_Male_Total population_AGE_80 to 84 years
S0101_C03_018M,Margin of Error_Male_Total population_AGE_80 to 84 years
S0101_C03_019E,Estimate_Male_Total population_AGE_85 years and over
S0101_C03_019M,Margin of Error_Male_Total population_AGE_85 years and over
S0101_C03_020E,Estimate_Male_Total population_SELECTED AGE CATEGORIES_5 to 14 years
S0101_C03_020M,Margin of Error_Male_Total population_SELECTED AGE CATEGORIES_5 to 14 years
S0101_C03_021E,Estimate_Male_Total population_SELECTED AGE CATEGORIES_15 to 17 years
S0101_C03_021M,Margin of Error_Male_Total population_SELECTED AGE CATEGORIES_15 to 17 years
S0101_C03_022E,Estimate_Male_Total population_SELECTED AGE CATEGORIES_Under 18 years
S0101_C03_022M,Margin of Error_Male_Total population_SELECTED AGE CATEGORIES_Under 18 years
S0101_C03_023E,Estimate_Male_Total population_SELECTED AGE CATEGORIES_18 to 24 years
S0101_C03_023M,Margin of Error_Male_Total population_SELECTED AGE CATEGORIES_18 to 24 years
S0101_C03_024E,Estimate_Male_Total population_SELECTED AGE CATEGORIES_15 to 44 years
S0101_C03_024M,Margin of Error_Male_Total population_SELECTED AGE CATEGORIES_15 to 44 years
S0101_C03_025E,Estimate_Male_Total population_SELECTED AGE CATEGORIES_16 years and over
S0101_C03_025M,Margin of Error_Male_Total population_SELECTED AGE CATEGORIES_16 years and over
S0101_C03_026E,Estimate_Male_Total population_SELECTED AGE CATEGORIES_18 years and over
S0101_C03_026M,Margin of Error_Male_Total population_SELECTED AGE CATEGORIES_18 years and over
S0101_C03_027E,Estimate_Male_Total population_SELECTED AGE CATEGORIES_21 years and over
S0101_C03_027M,Margin of Error_Male_Total population_SELECTED AGE CATEGORIES_21 years and over
S0101_C03_028E,Estimate_Male_Total population_SELECTED AGE CATEGORIES_60 years and over
S0101_C03_028M,Margin of Error_Male_Total population_SELECTED AGE CATEGORIES_60 years and over
S0101_C03_029E,Estimate_Male_Total population_SELECTED AGE CATEGORIES_62 years and over
S0101_C03_029M,Margin of Error_Male_Total population_SELECTED AGE CATEGORIES_62 years and over
S0101_C03_030E,Estimate_Male_Total population_SELECTED AGE CATEGORIES_65 years and over
S0101_C03_030M,Margin of Error_Male_Total population_SELECTED AGE CATEGORIES_65 years and over
S0101_C03_031E,Estimate_Male_Total population_SELECTED AGE CATEGORIES_75 years and over
S0101_C03_031M,Margin of Error_Male_Total population_SELECTED AGE CATEGORIES_75 years and over
S0101_C03_032E,Estimate_Male_Total population_SUMMARY INDICATORS_Median age (years)
S0101_C03_032M,Margin of Error_Male_Total population_SUMMARY INDICATORS_Median age (years)
S0101_C03_033E,Estimate_Male_Total population_SUMMARY INDICATORS_Sex ratio (males per 100 females)
S0101_C03_033M,Margin of Error_Male_Total population_SUMMARY INDICATORS_Sex ratio (males per 100 females)
S0101_C03_034E,Estimate_Male_Total population_SUMMARY INDICATORS_Age dependency ratio
S0101_C03_034M,Margin of Error_Male_Total population_SUMMARY INDICATORS_Age dependency ratio
S0101_C03_035E,Estimate_Male_Total population_SUMMARY INDICATORS_Old-age dependency ratio
S0101_C03_035M,Margin of Error_Male_Total population_SUMMARY INDICATORS_Old-age dependency ratio
S0101_C03_036E,Estimate_Male_Total population_SUMMARY INDICATORS_Child dependency ratio
S0101_C03_036M,Margin of Error_Male_Total population_SUMMARY INDICATORS_Child dependency ratio
S0101_C03_037E,Estimate_Male_Total population_PERCENT ALLOCATED_Sex
S0101_C03_037M,Margin of Error_Male_Total population_PERCENT ALLOCATED_Sex
S0101_C03_038E,Estimate_Male_Total population_PERCENT ALLOCATED_Age
S0101_C03_038M,Margin of Error_Male_Total population_PERCENT ALLOCATED_Age
S0101_C04_001E,Estimate_Percent Male_Total population
S0101_C04_001M,Margin of Error_Percent Male_Total population
S0101_C04_002E,Estimate_Percent Male_Total population_AGE_Under 5 years
S0101_C04_002M,Margin of Error_Percent Male_Total population_AGE_Under 5 years
S0101_C04_003E,Estimate_Percent Male_Total population_AGE_5 to 9 years
S0101_C04_003M,Margin of Error_Percent Male_Total population_AGE_5 to 9 years
S0101_C04_004E,Estimate_Percent Male_Total population_AGE_10 to 14 years
S0101_C04_004M,Margin of Error_Percent Male_Total population_AGE_10 to 14 years
S0101_C04_005E,Estimate_Percent Male_Total population_AGE_15 to 19 years
S0101_C04_005M,Margin of Error_Percent Male_Total population_AGE_15 to 19 years
