serialno,state,puma,wgtp,np,hincp,fincp,adjinc,hht,hht2,noc,npf,fparc,person_count,adult_count,college_age_count,student_enrolled_count,likely_college_student_count,employed_count,reference_person_count,reference_person_student_flag,has_any_likely_college_student,has_any_student,has_any_college_age_person,has_any_employed_person,student_share_of_persons,student_share_of_adults,college_age_share_of_persons,student_heavy_flag_rule_a,student_heavy_flag_rule_b,wgtp_adj,analysis_weight,hincp_adj_real,student_heavy_flag,hh_comp_key,below_alice_flag,annual_alice_threshold
2022HU0073812,17,1901,90,3,21000.0,21000.0,1042311,3.0,6.0,2.0,3.0,2.0,3,1,0,2,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,90.0,90.0,21888.531,0,1_adult_2plus_child,1,59492.23
2022HU0020035,17,1902,60,4,28000.0,28000.0,1042311,1.0,1.0,2.0,4.0,2.0,4,2,0,2,0,2,1,0,0,1,0,1,0.0,0.0,0.0,0,0,13.13844,13.13844,29184.708,0,2_adult_2plus_child,1,68841.66
2022HU0022474,17,1902,68,3,12400.0,12400.0,1042311,1.0,1.0,1.0,3.0,2.0,3,2,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,14.890232,14.890232,12924.6564,0,2_adult_1_child,1,59996.98
2022HU0022499,17,1902,27,1,11500.0,,1042311,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,5.912298,5.912298,11986.5765,0,1_adult_0_child,1,39379.85
2022HU0024351,17,1901,8,2,47600.0,47600.0,1042311,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,8.0,8.0,49614.0036,0,2_adult_0_child,1,51941.36
2022HU0024955,17,1902,32,5,26400.0,26400.0,1042311,3.0,7.0,0.0,5.0,3.0,5,2,0,3,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,7.007168,7.007168,27517.0104,0,2_adult_0_child,1,51941.36
2022HU0030525,17,1902,9,2,13650.0,,1042311,5.0,4.0,0.0,,,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,1.970766,1.970766,14227.54515,0,2_adult_0_child,1,51941.36
2022HU0033010,17,1901,472,3,25000.0,25000.0,1042311,3.0,6.0,2.0,3.0,2.0,3,1,0,2,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,472.0,472.0,26057.775,0,1_adult_2plus_child,1,59492.23
2022HU0033486,17,1901,94,2,27900.0,,1042311,7.0,8.0,0.0,,,2,2,2,2,2,1,1,1,1,1,1,1,1.0,1.0,1.0,1,0,94.0,94.0,29080.4769,0,2_adult_0_child,1,51941.36
2022HU0034032,17,1902,27,1,0.0,,1042311,4.0,9.0,0.0,,,1,1,0,1,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0,0,5.912298,5.912298,0.0,0,1_adult_0_child,1,39379.85
2022HU0037029,17,1901,111,2,20800.0,,1042311,7.0,8.0,0.0,,,2,2,2,2,2,0,1,1,1,1,1,0,1.0,1.0,1.0,1,1,111.0,111.0,21680.0688,1,2_adult_0_child,1,51941.36
2022HU0038276,17,1901,110,2,18270.0,,1042311,7.0,4.0,0.0,,,2,2,0,0,0,2,1,0,0,0,0,1,0.0,0.0,0.0,0,0,110.0,110.0,19043.02197,0,2_adult_0_child,1,51941.36
2022HU0040528,17,1901,88,1,6000.0,,1042311,4.0,9.0,0.0,,,1,1,1,1,1,0,1,1,1,1,1,0,1.0,1.0,1.0,1,1,88.0,88.0,6253.866,1,1_adult_0_child,1,39379.85
2022HU0041662,17,1902,21,1,0.0,,1042311,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,4.598454,4.598454,0.0,0,1_adult_0_child,1,39379.85
2022HU0042589,17,1902,16,1,21600.0,,1042311,4.0,9.0,0.0,,,1,1,1,0,0,0,1,0,0,0,1,0,0.0,0.0,1.0,0,0,3.503584,3.503584,22513.9176,0,1_adult_0_child,1,39379.85
2022HU0046262,17,1901,64,2,46590.0,46590.0,1042311,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,64.0,64.0,48561.26949,0,2_adult_0_child,1,51941.36
2022HU0046701,17,1902,21,1,28700.0,,1042311,6.0,5.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,4.598454,4.598454,29914.3257,0,1_adult_0_child,1,39379.85
2022HU0050036,17,1902,16,1,30000.0,,1042311,4.0,9.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,3.503584,3.503584,31269.33,0,1_adult_0_child,1,39379.85
2022HU0051230,17,1902,42,1,13300.0,,1042311,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,9.196908,9.196908,13862.7363,0,1_adult_0_child,1,39379.85
2022HU0051530,17,1902,25,2,21000.0,21000.0,1042311,3.0,6.0,1.0,2.0,2.0,2,1,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,5.47435,5.47435,21888.531,0,1_adult_1_child,1,43867.77
2022HU0057169,17,1901,147,1,0.0,,1042311,6.0,5.0,0.0,,,1,1,1,1,1,0,1,1,1,1,1,0,1.0,1.0,1.0,1,1,147.0,147.0,0.0,1,1_adult_0_child,1,39379.85
2022HU0059637,17,1902,72,5,39200.0,39200.0,1042311,3.0,3.0,3.0,4.0,2.0,5,2,0,3,0,2,1,0,0,1,0,1,0.0,0.0,0.0,0,0,15.766128,15.766128,40858.5912,0,2_adult_2plus_child,1,68841.66
2022HU0065652,17,1901,218,2,44000.0,44000.0,1042311,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,218.0,218.0,45861.684,0,2_adult_0_child,1,51941.36
2022HU0072402,17,1901,61,2,2000.0,,1042311,7.0,8.0,0.0,,,2,2,2,2,2,0,1,1,1,1,1,0,1.0,1.0,1.0,1,1,61.0,61.0,2084.622,1,2_adult_0_child,1,51941.36
2022HU0074159,17,1902,94,3,48000.0,48000.0,1042311,1.0,2.0,0.0,3.0,4.0,3,3,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,20.583556,20.583556,50030.928,0,3plus_adult_0_child,1,61258.87
2022HU0074454,17,1901,149,1,30000.0,,1042311,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,149.0,149.0,31269.33,0,1_adult_0_child,1,39379.85
2022HU0075097,17,1902,44,1,23000.0,,1042311,6.0,5.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,9.634856,9.634856,23973.153,0,1_adult_0_child,1,39379.85
2022HU0079010,17,1902,24,2,44590.0,44590.0,1042311,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,2,1,0,0,0,0,1,0.0,0.0,0.0,0,0,5.255376,5.255376,46476.64749,0,2_adult_0_child,1,51941.36
2022HU0079370,17,1902,15,2,37900.0,37900.0,1042311,3.0,7.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,3.28461,3.28461,39503.5869,0,2_adult_0_child,1,51941.36
2022HU0080533,17,1901,57,1,120.0,,1042311,4.0,9.0,0.0,,,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,0,57.0,57.0,125.07732,0,1_adult_0_child,1,39379.85
2022HU0081962,17,1902,70,4,22000.0,22000.0,1042311,1.0,1.0,1.0,4.0,1.0,4,3,1,0,0,2,1,0,0,0,1,1,0.0,0.0,0.25,0,0,15.32818,15.32818,22930.842,0,3plus_adult_1plus_child,1,70069.13
2022HU0085128,17,1901,53,4,38400.0,,1042311,7.0,8.0,0.0,,,4,4,4,4,4,3,1,1,1,1,1,1,1.0,1.0,1.0,1,0,53.0,53.0,40024.7424,0,3plus_adult_0_child,1,61258.87
2022HU0086178,17,1902,25,3,18000.0,18000.0,1042311,1.0,1.0,1.0,3.0,1.0,3,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,5.47435,5.47435,18761.598,0,2_adult_1_child,1,59996.98
2022HU0087829,17,1902,11,1,27300.0,,1042311,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,2.408714,2.408714,28455.0903,0,1_adult_0_child,1,39379.85
2022HU0089244,17,1901,100,1,26000.0,,1042311,4.0,9.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,100.0,100.0,27100.086,0,1_adult_0_child,1,39379.85
2022HU0090196,17,1902,12,2,17700.0,17700.0,1042311,3.0,6.0,1.0,2.0,1.0,2,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,2.627688,2.627688,18448.9047,0,1_adult_1_child,1,43867.77
2022HU0094377,17,1902,34,3,57600.0,57600.0,1042311,1.0,2.0,0.0,3.0,4.0,3,3,0,0,0,2,1,0,0,0,0,1,0.0,0.0,0.0,0,0,7.445116,7.445116,60037.1136,0,3plus_adult_0_child,1,61258.87
2022HU0095520,17,1901,485,1,0.0,,1042311,6.0,5.0,0.0,,,1,1,1,1,1,0,1,1,1,1,1,0,1.0,1.0,1.0,1,1,485.0,485.0,0.0,1,1_adult_0_child,1,39379.85
2022HU0096973,17,1902,65,1,34000.0,,1042311,6.0,5.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,14.23331,14.23331,35438.574,0,1_adult_0_child,1,39379.85
2022HU0101620,17,1902,17,2,42600.0,42600.0,1042311,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,3.722558,3.722558,44402.4486,0,2_adult_0_child,1,51941.36
2022HU0102575,17,1902,21,1,1800.0,,1042311,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,4.598454,4.598454,1876.1598,0,1_adult_0_child,1,39379.85
2022HU0102832,17,1902,15,4,30000.0,30000.0,1042311,3.0,6.0,3.0,4.0,3.0,4,1,0,3,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,3.28461,3.28461,31269.33,0,1_adult_2plus_child,1,59492.23
2022HU0102911,17,1902,16,1,1500.0,,1042311,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,3.503584,3.503584,1563.4665,0,1_adult_0_child,1,39379.85
2022HU0105718,17,1902,143,2,30000.0,30000.0,1042311,3.0,7.0,0.0,2.0,2.0,2,1,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,31.313282,31.313282,31269.33,0,1_adult_0_child,1,39379.85
2022HU0107165,17,1902,10,1,21000.0,,1042311,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,2.18974,2.18974,21888.531,0,1_adult_0_child,1,39379.85
2022HU0107536,17,1902,60,1,10000.0,,1042311,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,13.13844,13.13844,10423.11,0,1_adult_0_child,1,39379.85
2022HU0111188,17,1901,136,2,9900.0,,1042311,7.0,4.0,0.0,,,2,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,136.0,136.0,10318.8789,0,2_adult_0_child,1,51941.36
2022HU0114730,17,1901,63,1,9600.0,,1042311,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,63.0,63.0,10006.1856,0,1_adult_0_child,1,39379.85
2022HU0117407,17,1902,11,1,720.0,,1042311,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,2.408714,2.408714,750.46392,0,1_adult_0_child,1,39379.85
2022HU0118356,17,1902,68,1,11800.0,,1042311,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,14.890232,14.890232,12299.2698,0,1_adult_0_child,1,39379.85
2022HU0119621,17,1901,138,2,7430.0,,1042311,7.0,4.0,0.0,,,2,2,2,2,2,0,1,1,1,1,1,0,1.0,1.0,1.0,1,1,138.0,138.0,7744.37073,1,2_adult_0_child,1,51941.36
2022HU0120220,17,1901,40,1,840.0,,1042311,4.0,9.0,0.0,,,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,0,40.0,40.0,875.54124,0,1_adult_0_child,1,39379.85
2022HU0121581,17,1902,26,1,29400.0,,1042311,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,5.693324,5.693324,30643.9434,0,1_adult_0_child,1,39379.85
2022HU0124073,17,1902,240,1,24000.0,,1042311,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,52.55376,52.55376,25015.464,0,1_adult_0_child,1,39379.85
2022HU0124240,17,1901,110,1,30100.0,,1042311,4.0,9.0,0.0,,,1,1,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,110.0,110.0,31373.5611,0,1_adult_0_child,1,39379.85
2022HU0126343,17,1902,22,1,11900.0,,1042311,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,4.817428,4.817428,12403.5009,0,1_adult_0_child,1,39379.85
2022HU0129928,17,1902,14,1,24000.0,,1042311,4.0,9.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,3.065636,3.065636,25015.464,0,1_adult_0_child,1,39379.85
2022HU0133871,17,1901,342,1,800.0,,1042311,4.0,9.0,0.0,,,1,1,1,1,1,0,1,1,1,1,1,0,1.0,1.0,1.0,1,1,342.0,342.0,833.8488,1,1_adult_0_child,1,39379.85
2022HU0134767,17,1901,67,4,46000.0,46000.0,1042311,1.0,1.0,2.0,4.0,3.0,4,2,0,1,0,2,1,0,0,1,0,1,0.0,0.0,0.0,0,0,67.0,67.0,47946.306,0,2_adult_2plus_child,1,68841.66
2022HU0134863,17,1902,40,1,35000.0,,1042311,4.0,9.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,8.75896,8.75896,36480.885,0,1_adult_0_child,1,39379.85
2022HU0138481,17,1902,59,3,8000.0,8000.0,1042311,3.0,6.0,2.0,3.0,3.0,3,1,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,12.919466,12.919466,8338.488,0,1_adult_2plus_child,1,59492.23
2022HU0143302,17,1901,55,2,48200.0,48200.0,1042311,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,55.0,55.0,50239.3902,0,2_adult_0_child,1,51941.36
2022HU0143569,17,1901,120,3,27100.0,27100.0,1042311,3.0,7.0,0.0,3.0,4.0,3,3,2,1,0,1,1,0,0,1,1,1,0.0,0.0,0.6666666666666666,0,0,120.0,120.0,28246.6281,0,3plus_adult_0_child,1,61258.87
2022HU0144204,17,1901,48,1,0.0,,1042311,4.0,9.0,0.0,,,1,1,1,1,1,0,1,1,1,1,1,0,1.0,1.0,1.0,1,1,48.0,48.0,0.0,1,1_adult_0_child,1,39379.85
2022HU0146487,17,1902,289,2,40000.0,40000.0,1042311,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,63.283486,63.283486,41692.44,0,2_adult_0_child,1,51941.36
2022HU0146758,17,1902,71,1,17610.0,,1042311,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,15.547154,15.547154,18355.09671,0,1_adult_0_child,1,39379.85
2022HU0148481,17,1901,49,2,23900.0,23900.0,1042311,2.0,11.0,0.0,2.0,4.0,2,2,2,1,1,2,1,1,1,1,1,1,0.5,0.5,1.0,1,0,49.0,49.0,24911.2329,0,2_adult_0_child,1,51941.36
2022HU0150929,17,1902,17,2,14900.0,14900.0,1042311,3.0,7.0,0.0,2.0,2.0,2,1,0,1,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0,0,3.722558,3.722558,15530.4339,0,1_adult_0_child,1,39379.85
2022HU0151882,17,1902,44,6,54750.0,54750.0,1042311,3.0,7.0,0.0,6.0,3.0,6,3,0,2,0,2,1,0,0,1,0,1,0.0,0.0,0.0,0,0,9.634856,9.634856,57066.52725,0,3plus_adult_0_child,1,61258.87
2022HU0152875,17,1902,87,1,25600.0,,1042311,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,19.050738,19.050738,26683.1616,0,1_adult_0_child,1,39379.85
2022HU0153898,17,1902,15,2,3400.0,3400.0,1042311,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,3.28461,3.28461,3543.8574,0,2_adult_0_child,1,51941.36
2022HU0155603,17,1902,34,1,27400.0,,1042311,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,7.445116,7.445116,28559.3214,0,1_adult_0_child,1,39379.85
2022HU0155931,17,1902,62,2,41900.0,41900.0,1042311,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,13.576388,13.576388,43672.8309,0,2_adult_0_child,1,51941.36
2022HU0173175,17,1902,82,1,16800.0,,1042311,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,17.955868,17.955868,17510.8248,0,1_adult_0_child,1,39379.85
2022HU0173727,17,1901,65,5,52400.0,,1042311,7.0,8.0,0.0,,,5,5,5,5,5,3,1,1,1,1,1,1,1.0,1.0,1.0,1,0,65.0,65.0,54617.0964,0,3plus_adult_0_child,1,61258.87
2022HU0179992,17,1902,26,2,21200.0,21200.0,1042311,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,2,1,0,0,0,0,1,0.0,0.0,0.0,0,0,5.693324,5.693324,22096.9932,0,2_adult_0_child,1,51941.36
2022HU0180786,17,1902,231,1,9000.0,,1042311,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,50.582994,50.582994,9380.799,0,1_adult_0_child,1,39379.85
2022HU0183637,17,1902,12,3,34000.0,34000.0,1042311,2.0,10.0,2.0,3.0,3.0,3,1,0,2,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,2.627688,2.627688,35438.574,0,1_adult_2plus_child,1,59492.23
2022HU0184119,17,1902,76,2,34960.0,34960.0,1042311,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,16.642024,16.642024,36439.19256,0,2_adult_0_child,1,51941.36
2022HU0184451,17,1902,40,1,13010.0,,1042311,6.0,5.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,8.75896,8.75896,13560.46611,0,1_adult_0_child,1,39379.85
2022HU0186783,17,1901,127,1,1800.0,,1042311,6.0,5.0,0.0,,,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,0,127.0,127.0,1876.1598,0,1_adult_0_child,1,39379.85
2022HU0187278,17,1902,14,3,10000.0,10000.0,1042311,3.0,6.0,2.0,3.0,2.0,3,1,0,2,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,3.065636,3.065636,10423.11,0,1_adult_2plus_child,1,59492.23
2022HU0188584,17,1902,13,1,25300.0,,1042311,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,2.846662,2.846662,26370.4683,0,1_adult_0_child,1,39379.85
2022HU0190632,17,1902,9,2,43000.0,43000.0,1042311,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,1.970766,1.970766,44819.373,0,2_adult_0_child,1,51941.36
2022HU0195836,17,1902,74,3,32700.0,32700.0,1042311,3.0,7.0,0.0,3.0,1.0,3,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,16.204076,16.204076,34083.5697,0,2_adult_0_child,1,51941.36
2022HU0196655,17,1901,6,1,19600.0,,1042311,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,6.0,6.0,20429.2956,0,1_adult_0_child,1,39379.85
2022HU0196783,17,1901,66,4,40000.0,40000.0,1042311,1.0,1.0,2.0,4.0,2.0,4,2,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,66.0,66.0,41692.44,0,2_adult_2plus_child,1,68841.66
2022HU0196937,17,1901,93,1,34600.0,,1042311,6.0,5.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,93.0,93.0,36063.9606,0,1_adult_0_child,1,39379.85
2022HU0207256,17,1902,42,1,14000.0,,1042311,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,9.196908,9.196908,14592.354,0,1_adult_0_child,1,39379.85
2022HU0211073,17,1902,70,1,20400.0,,1042311,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,15.32818,15.32818,21263.1444,0,1_adult_0_child,1,39379.85
2022HU0212181,17,1902,13,2,40000.0,40000.0,1042311,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,2.846662,2.846662,41692.44,0,2_adult_0_child,1,51941.36
2022HU0212489,17,1902,49,2,27700.0,27700.0,1042311,3.0,7.0,0.0,2.0,2.0,2,1,0,1,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0,0,10.729726,10.729726,28872.0147,0,1_adult_0_child,1,39379.85
2022HU0214439,17,1902,21,4,43000.0,43000.0,1042311,3.0,6.0,3.0,4.0,3.0,4,1,0,2,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,4.598454,4.598454,44819.373,0,1_adult_2plus_child,1,59492.23
2022HU0217634,17,1902,25,2,47000.0,47000.0,1042311,1.0,2.0,0.0,2.0,4.0,2,2,0,1,0,2,1,0,0,1,0,1,0.0,0.0,0.0,0,0,5.47435,5.47435,48988.617,0,2_adult_0_child,1,51941.36
2022HU0217954,17,1902,59,1,12000.0,,1042311,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,12.919466,12.919466,12507.732,0,1_adult_0_child,1,39379.85
2022HU0219112,17,1901,50,1,20000.0,,1042311,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,50.0,50.0,20846.22,0,1_adult_0_child,1,39379.85
2022HU0221253,17,1902,124,2,19920.0,19920.0,1042311,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,27.152776,27.152776,20762.83512,0,2_adult_0_child,1,51941.36
2022HU0222998,17,1901,57,1,24200.0,,1042311,4.0,9.0,0.0,,,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,0,57.0,57.0,25223.9262,0,1_adult_0_child,1,39379.85
2022HU0224636,17,1902,62,1,11000.0,,1042311,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,13.576388,13.576388,11465.421,0,1_adult_0_child,1,39379.85
2022HU0225294,17,1902,19,2,21300.0,21300.0,1042311,3.0,7.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,4.160506,4.160506,22201.2243,0,2_adult_0_child,1,51941.36
2022HU0226059,17,1902,8,1,15000.0,,1042311,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,1.751792,1.751792,15634.665,0,1_adult_0_child,1,39379.85
2022HU0228535,17,1901,7,2,12100.0,12100.0,1042311,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,7.0,7.0,12611.9631,0,2_adult_0_child,1,51941.36
2022HU0234396,17,1902,52,5,6900.0,6900.0,1042311,1.0,1.0,3.0,5.0,2.0,5,2,0,3,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,11.386648,11.386648,7191.9459,0,2_adult_2plus_child,1,68841.66
2022HU0235095,17,1902,40,2,28010.0,,1042311,5.0,4.0,0.0,,,2,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,8.75896,8.75896,29195.13111,0,2_adult_0_child,1,51941.36
