year,table_code,table_family,source_type,geo_id,name,tract_geoid,statefp,countyfp,tractce,GEO_ID,NAME,B19013_001E,B19013_001M,Unnamed:_4
2023,B19013,Detailed Table,DT,1400000US17019010603,Census Tract 106.03; Champaign County; Illinois,17019010603,17,019,010603,1400000US17019010603,Census Tract 106.03; Champaign County; Illinois,91615,26105,
2023,B19013,Detailed Table,DT,1400000US17019010604,Census Tract 106.04; Champaign County; Illinois,17019010604,17,019,010604,1400000US17019010604,Census Tract 106.04; Champaign County; Illinois,116765,18685,
2023,B19013,Detailed Table,DT,1400000US17019010701,Census Tract 107.01; Champaign County; Illinois,17019010701,17,019,010701,1400000US17019010701,Census Tract 107.01; Champaign County; Illinois,113625,16841,
2023,B19013,Detailed Table,DT,1400000US17019010702,Census Tract 107.02; Champaign County; Illinois,17019010702,17,019,010702,1400000US17019010702,Census Tract 107.02; Champaign County; Illinois,106096,9098,
2023,B19013,Detailed Table,DT,1400000US17019010800,Census Tract 108; Champaign County; Illinois,17019010800,17,019,010800,1400000US17019010800,Census Tract 108; Champaign County; Illinois,95927,6129,
2023,B19013,Detailed Table,DT,1400000US17019010901,Census Tract 109.01; Champaign County; Illinois,17019010901,17,019,010901,1400000US17019010901,Census Tract 109.01; Champaign County; Illinois,96141,15804,
2023,B19013,Detailed Table,DT,1400000US17019010902,Census Tract 109.02; Champaign County; Illinois,17019010902,17,019,010902,1400000US17019010902,Census Tract 109.02; Champaign County; Illinois,83448,20855,
2023,B19013,Detailed Table,DT,1400000US17019011001,Census Tract 110.01; Champaign County; Illinois,17019011001,17,019,011001,1400000US17019011001,Census Tract 110.01; Champaign County; Illinois,59115,15522,
2023,B19013,Detailed Table,DT,1400000US17019011002,Census Tract 110.02; Champaign County; Illinois,17019011002,17,019,011002,1400000US17019011002,Census Tract 110.02; Champaign County; Illinois,95263,47893,
2023,B19013,Detailed Table,DT,1400000US17019011100,Census Tract 111; Champaign County; Illinois,17019011100,17,019,011100,1400000US17019011100,Census Tract 111; Champaign County; Illinois,27500,7102,
