year,table_code,table_family,source_type,geo_id,name,tract_geoid,statefp,countyfp,tractce,GEO_ID,NAME,B03002_001E,B03002_001M,B03002_002E,B03002_002M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_010E,B03002_010M,B03002_011E,B03002_011M,B03002_012E,B03002_012M,B03002_013E,B03002_013M,B03002_014E,B03002_014M,B03002_015E,B03002_015M,B03002_016E,B03002_016M,B03002_017E,B03002_017M,B03002_018E,B03002_018M,B03002_019E,B03002_019M,B03002_020E,B03002_020M,B03002_021E,B03002_021M,Unnamed:_44
2022,B03002,Detailed Table,DT,1400000US17019005800,Census Tract 58; Champaign County; Illinois,17019005800,17,019,005800,1400000US17019005800,Census Tract 58; Champaign County; Illinois,4047,477,3582,474,2832,402,197,171,0,12,340,237,0,12,18,28,195,108,31,28,164,107,465,183,165,108,0,12,0,12,0,12,0,12,121,91,179,134,179,134,0,12,
2022,B03002,Detailed Table,DT,1400000US17019005901,Census Tract 59.01; Champaign County; Illinois,17019005901,17,019,005901,1400000US17019005901,Census Tract 59.01; Champaign County; Illinois,2463,217,2190,234,1665,259,92,69,0,12,377,102,0,12,23,43,33,43,0,12,33,43,273,115,171,114,0,12,0,12,0,12,0,12,16,22,86,57,86,57,0,12,
2022,B03002,Detailed Table,DT,1400000US17019005902,Census Tract 59.02; Champaign County; Illinois,17019005902,17,019,005902,1400000US17019005902,Census Tract 59.02; Champaign County; Illinois,2686,309,2399,310,1296,220,64,47,0,12,902,284,0,12,0,12,137,111,80,106,57,40,287,125,118,90,0,12,0,12,0,12,0,12,21,25,148,94,148,94,0,12,
2022,B03002,Detailed Table,DT,1400000US17019006000,Census Tract 60; Champaign County; Illinois,17019006000,17,019,006000,1400000US17019006000,Census Tract 60; Champaign County; Illinois,3029,193,2660,222,1611,197,306,138,0,12,616,138,0,12,4,8,123,64,40,47,83,52,369,137,108,81,4,8,0,12,0,12,0,12,15,22,242,133,242,133,0,12,
2022,B03002,Detailed Table,DT,1400000US17019010100,Census Tract 101; Champaign County; Illinois,17019010100,17,019,010100,1400000US17019010100,Census Tract 101; Champaign County; Illinois,4171,343,3689,366,2340,452,799,297,0,12,39,49,0,12,0,12,511,421,0,12,511,421,482,209,128,81,36,55,0,12,0,12,0,12,183,131,135,124,135,124,0,12,
2022,B03002,Detailed Table,DT,1400000US17019010204,Census Tract 102.04; Champaign County; Illinois,17019010204,17,019,010204,1400000US17019010204,Census Tract 102.04; Champaign County; Illinois,4663,419,3525,425,2541,373,641,227,7,12,35,39,0,12,0,12,301,226,54,83,247,213,1138,342,718,387,0,12,0,12,0,12,0,12,37,88,383,268,309,265,74,94,
2022,B03002,Detailed Table,DT,1400000US17019010300,Census Tract 103; Champaign County; Illinois,17019010300,17,019,010300,1400000US17019010300,Census Tract 103; Champaign County; Illinois,3813,443,3604,446,1457,358,1381,471,11,14,32,44,0,12,0,12,723,486,0,12,723,486,209,207,73,76,7,13,0,12,0,12,0,12,129,197,0,12,0,12,0,12,
2022,B03002,Detailed Table,DT,1400000US17019010400,Census Tract 104; Champaign County; Illinois,17019010400,17,019,010400,1400000US17019010400,Census Tract 104; Champaign County; Illinois,4360,349,4164,339,3967,329,57,37,1,3,4,8,1,4,2,3,132,73,32,21,100,69,196,88,101,55,0,12,4,5,0,12,0,12,12,15,79,64,69,62,10,10,
2022,B03002,Detailed Table,DT,1400000US17019010500,Census Tract 105; Champaign County; Illinois,17019010500,17,019,010500,1400000US17019010500,Census Tract 105; Champaign County; Illinois,4474,448,4464,448,4145,492,15,23,0,12,78,101,0,12,4,7,222,207,187,201,35,43,10,14,4,7,0,12,0,12,0,12,0,12,0,12,6,10,4,10,2,4,
2022,B03002,Detailed Table,DT,1400000US17019010601,Census Tract 106.01; Champaign County; Illinois,17019010601,17,019,010601,1400000US17019010601,Census Tract 106.01; Champaign County; Illinois,6274,507,6086,538,5772,536,37,60,0,17,107,144,0,17,0,17,170,121,0,17,170,121,188,187,96,106,0,17,0,17,0,17,0,17,21,34,71,118,71,118,0,17,
2022,B03002,Detailed Table,DT,1400000US17019010603,Census Tract 106.03; Champaign County; Illinois,17019010603,17,019,010603,1400000US17019010603,Census Tract 106.03; Champaign County; Illinois,7532,513,7248,559,6952,579,53,63,0,17,44,53,0,17,0,17,199,156,73,105,126,122,284,216,47,54,0,17,0,17,0,17,23,35,40,52,174,182,174,182,0,17,
2022,B03002,Detailed Table,DT,1400000US17019010604,Census Tract 106.04; Champaign County; Illinois,17019010604,17,019,010604,1400000US17019010604,Census Tract 106.04; Champaign County; Illinois,2672,382,2375,314,2034,300,243,159,0,12,29,40,0,12,0,12,69,49,0,12,69,49,297,219,251,209,0,12,0,12,0,12,0,12,0,12,46,68,46,68,0,12,
2022,B03002,Detailed Table,DT,1400000US17019010701,Census Tract 107.01; Champaign County; Illinois,17019010701,17,019,010701,1400000US17019010701,Census Tract 107.01; Champaign County; Illinois,3969,394,3893,399,3738,407,2,6,6,13,60,87,0,12,0,12,87,87,0,12,87,87,76,61,76,61,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,
2022,B03002,Detailed Table,DT,1400000US17019010702,Census Tract 107.02; Champaign County; Illinois,17019010702,17,019,010702,1400000US17019010702,Census Tract 107.02; Champaign County; Illinois,3981,426,3950,430,3798,440,62,69,5,8,66,74,0,12,0,12,19,17,5,7,14,16,31,40,0,12,0,12,0,12,0,12,0,12,0,12,31,40,31,40,0,12,
2022,B03002,Detailed Table,DT,1400000US17019010800,Census Tract 108; Champaign County; Illinois,17019010800,17,019,010800,1400000US17019010800,Census Tract 108; Champaign County; Illinois,4165,417,4071,403,3977,406,9,11,4,6,2,3,0,12,0,12,79,43,20,24,59,42,94,52,51,35,5,8,0,12,0,12,0,12,0,12,38,38,38,38,0,12,
2022,B03002,Detailed Table,DT,1400000US17019010901,Census Tract 109.01; Champaign County; Illinois,17019010901,17,019,010901,1400000US17019010901,Census Tract 109.01; Champaign County; Illinois,6370,521,6302,529,5801,580,259,245,2,5,106,120,0,17,30,48,104,106,6,11,98,106,68,80,5,8,0,17,0,17,0,17,0,17,0,17,63,79,63,79,0,17,
2022,B03002,Detailed Table,DT,1400000US17019010902,Census Tract 109.02; Champaign County; Illinois,17019010902,17,019,010902,1400000US17019010902,Census Tract 109.02; Champaign County; Illinois,3800,393,3742,399,3514,383,2,3,8,9,32,45,0,12,0,12,186,189,49,78,137,152,58,41,35,26,0,12,0,12,0,12,0,12,0,12,23,32,23,32,0,12,
2022,B03002,Detailed Table,DT,1400000US17019011001,Census Tract 110.01; Champaign County; Illinois,17019011001,17,019,011001,1400000US17019011001,Census Tract 110.01; Champaign County; Illinois,2070,448,2002,444,1756,436,140,97,0,12,54,71,0,12,0,12,52,46,28,35,24,29,68,70,5,9,0,12,0,12,0,12,0,12,34,45,29,25,29,25,0,12,
2022,B03002,Detailed Table,DT,1400000US17019011002,Census Tract 110.02; Champaign County; Illinois,17019011002,17,019,011002,1400000US17019011002,Census Tract 110.02; Champaign County; Illinois,2175,443,2056,452,1618,416,77,53,0,12,149,111,0,12,0,12,212,253,0,12,212,253,119,98,27,37,25,38,0,12,0,12,0,12,0,12,67,72,67,72,0,12,
2022,B03002,Detailed Table,DT,1400000US17019011100,Census Tract 111; Champaign County; Illinois,17019011100,17,019,011100,1400000US17019011100,Census Tract 111; Champaign County; Illinois,2106,423,2001,401,1064,362,38,22,0,12,787,241,39,57,0,12,73,56,0,12,73,56,105,79,19,23,0,12,0,12,0,12,0,12,10,18,76,76,60,73,16,26,
