year,tract_geoid,display_area_label,primary_place,primary_zip,landmark_context_note,tract_number,tract_name_canonical,median_household_income,rank_group,metric,poverty_rate,unemployment_rate,pct_rent_burden_30_plus,pct_rent_burden_50_plus,pct_hh_income_under_25k,pct_bachelors_or_higher,pct_age_18_24,pct_family_households
2019,17019000800,Champaign — Mixed residential area,Champaign,61822.0,Renter-heavy housing profile.,8,Census Tract 8,,bottom_10,pct_hh_income_under_25k,,,,,13.0,,,
2019,17019000401,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,4.01,Census Tract 4.01,,top_10,pct_hh_income_under_25k,,,,,88.8,,,
2019,17019000402,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,4.02,Census Tract 4.02,,top_10,pct_hh_income_under_25k,,,,,87.3,,,
2019,17019000301,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,3.01,Census Tract 3.01,,top_10,pct_hh_income_under_25k,,,,,79.9,,,
2019,17019005900,,,,,59,Census Tract 59,,top_10,pct_hh_income_under_25k,,,,,72.2,,,
2019,17019000302,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,3.02,Census Tract 3.02,,top_10,pct_hh_income_under_25k,,,,,69.9,,,
2019,17019006000,Census Tract 60 — Student-dense area,,61802.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,60,Census Tract 60,,top_10,pct_hh_income_under_25k,,,,,60.1,,,
2019,17019000200,Champaign — Higher economic stress area,Champaign,61820.0,Higher poverty rate; more very-low-income households.,2,Census Tract 2,,top_10,pct_hh_income_under_25k,,,,,55.8,,,
2019,17019011100,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,111,Census Tract 111,,top_10,pct_hh_income_under_25k,,,,,54.8,,,
2019,17019005300,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,53,Census Tract 53,,top_10,pct_hh_income_under_25k,,,,,54.2,,,
2019,17019005800,Urbana — Higher economic stress area,Urbana,61801.0,Higher poverty rate; more very-low-income households.,58,Census Tract 58,,top_10,pct_hh_income_under_25k,,,,,33.6,,,
2019,17019000200,Champaign — Higher economic stress area,Champaign,61820.0,Higher poverty rate; more very-low-income households.,2,Census Tract 2,,bottom_10,pct_bachelors_or_higher,,,,,,13.6,,
2019,17019000901,Champaign — Family-oriented residential area,Champaign,61821.0,More very-low-income households; more households with children.,9.01,Census Tract 9.01,,bottom_10,pct_bachelors_or_higher,,,,,,14.0,,
2019,17019010204,Rantoul — Mixed residential area,Rantoul,61866.0,General tract context note not flagged by the current rule set.,102.04,Census Tract 102.04,,bottom_10,pct_bachelors_or_higher,,,,,,14.4,,
2019,17019000700,Champaign — Mixed residential area,Champaign,61820.0,General tract context note not flagged by the current rule set.,7,Census Tract 7,,bottom_10,pct_bachelors_or_higher,,,,,,15.8,,
2019,17019010300,Rantoul — Family-oriented residential area,Rantoul,61866.0,Renter-heavy housing profile; higher poverty rate; more households with children.,103,Census Tract 103,,bottom_10,pct_bachelors_or_higher,,,,,,16.3,,
2019,17019010400,Census Tract 104 — Senior-heavy residential area,,61866.0,Older age profile.,104,Census Tract 104,,bottom_10,pct_bachelors_or_higher,,,,,,19.2,,
2019,17019010100,Census Tract 101 — Mixed residential area,,61866.0,General tract context note not flagged by the current rule set.,101,Census Tract 101,,bottom_10,pct_bachelors_or_higher,,,,,,19.9,,
2019,17019005402,Census Tract 54.02 — Senior-heavy residential area,,61802.0,Older age profile.,54.02,Census Tract 54.02,,bottom_10,pct_bachelors_or_higher,,,,,,24.1,,
2019,17019010604,Census Tract 106.04 — Senior-heavy residential area,,61822.0,Older age profile.,106.04,Census Tract 106.04,,bottom_10,pct_bachelors_or_higher,,,,,,24.1,,
2019,17019010800,Census Tract 108 — Senior-heavy residential area,,61877.0,More households with children; older age profile.,108,Census Tract 108,,bottom_10,pct_bachelors_or_higher,,,,,,24.1,,
2019,17019005900,,,,,59,Census Tract 59,,top_10,pct_bachelors_or_higher,,,,,,95.9,,
2019,17019006000,Census Tract 60 — Student-dense area,,61802.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,60,Census Tract 60,,top_10,pct_bachelors_or_higher,,,,,,92.7,,
2019,17019005800,Urbana — Higher economic stress area,Urbana,61801.0,Higher poverty rate; more very-low-income households.,58,Census Tract 58,,top_10,pct_bachelors_or_higher,,,,,,82.0,,
2019,17019000402,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,4.02,Census Tract 4.02,,top_10,pct_bachelors_or_higher,,,,,,75.9,,
2019,17019001400,Census Tract 14 — Family-oriented residential area,,61874.0,Higher student concentration; more households with children.,14,Census Tract 14,,top_10,pct_bachelors_or_higher,,,,,,73.5,,
2019,17019001205,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children.,12.05,Census Tract 12.05,,top_10,pct_bachelors_or_higher,,,,,,71.3,,
2019,17019001206,Census Tract 12.06 — Senior-heavy residential area,,61822.0,Older age profile.,12.06,Census Tract 12.06,,top_10,pct_bachelors_or_higher,,,,,,68.1,,
2019,17019011100,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,111,Census Tract 111,,top_10,pct_bachelors_or_higher,,,,,,67.0,,
2019,17019001301,Champaign — Senior-heavy residential area,Champaign,61821.0,Older age profile.,13.01,Census Tract 13.01,,top_10,pct_bachelors_or_higher,,,,,,66.2,,
2019,17019000500,Champaign — Mixed residential area,Champaign,61820.0,More households with children.,5,Census Tract 5,,top_10,pct_bachelors_or_higher,,,,,,65.4,,
2019,17019010100,Census Tract 101 — Mixed residential area,,61866.0,General tract context note not flagged by the current rule set.,101,Census Tract 101,,bottom_10,pct_age_18_24,,,,,,,4.6,
2019,17019001100,Champaign — Senior-heavy residential area,Champaign,61821.0,Older age profile.,11,Census Tract 11,,bottom_10,pct_age_18_24,,,,,,,4.7,
2019,17019001206,Census Tract 12.06 — Senior-heavy residential area,,61822.0,Older age profile.,12.06,Census Tract 12.06,,bottom_10,pct_age_18_24,,,,,,,5.1,
2019,17019001205,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children.,12.05,Census Tract 12.05,,bottom_10,pct_age_18_24,,,,,,,5.2,
2019,17019001204,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children; older age profile.,12.04,Census Tract 12.04,,bottom_10,pct_age_18_24,,,,,,,5.4,
2019,17019005500,Urbana — Senior-heavy residential area,Urbana,61802.0,Older age profile.,55,Census Tract 55,,bottom_10,pct_age_18_24,,,,,,,5.8,
2019,17019010800,Census Tract 108 — Senior-heavy residential area,,61877.0,More households with children; older age profile.,108,Census Tract 108,,bottom_10,pct_age_18_24,,,,,,,6.1,
