"Column Name","Label"
"S1601_C03_013E","Percent of specified language speakers!!Speak English  less than "very well"!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!5-17 years"
"S1601_C03_013M","Percent of specified language speakers!!Speak English  less than "very well"!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!5-17 years"
"S1601_C01_014E","Total!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!18-64 years"
"S1601_C01_014M","Total!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!18-64 years"
"S1601_C02_014E","Percent of specified language speakers!!Speak English "very well"!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!18-64 years"
"S1601_C02_014M","Percent of specified language speakers!!Speak English "very well"!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!18-64 years"
"S1601_C03_014E","Percent of specified language speakers!!Speak English  less than "very well"!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!18-64 years"
"S1601_C03_014M","Percent of specified language speakers!!Speak English  less than "very well"!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!18-64 years"
"S1601_C01_015E","Total!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!65 years and over"
"S1601_C01_015M","Total!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!65 years and over"
"S1601_C02_015E","Percent of specified language speakers!!Speak English "very well"!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!65 years and over"
"S1601_C02_015M","Percent of specified language speakers!!Speak English "very well"!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!65 years and over"
"S1601_C03_015E","Percent of specified language speakers!!Speak English  less than "very well"!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!65 years and over"
"S1601_C03_015M","Percent of specified language speakers!!Speak English  less than "very well"!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!65 years and over"
"S1601_C01_016E","Total!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages"
"S1601_C01_016M","Total!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages"
"S1601_C02_016E","Percent of specified language speakers!!Speak English "very well"!!Estimate!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages"
"S1601_C02_016M","Percent of specified language speakers!!Speak English "very well"!!Margin of Error!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages"
