source_table,metric_group,metric_name,metric_kind
S0101,age,s0101_c03_018e,derived
S0101,age,s0101_c03_018m,derived
S0101,age,s0101_c03_019e,derived
S0101,age,s0101_c03_019m,derived
S0101,age,s0101_c03_020e,derived
S0101,age,s0101_c03_020m,derived
S0101,age,s0101_c03_021e,derived
S0101,age,s0101_c03_021m,derived
S0101,age,s0101_c03_022e,derived
S0101,age,s0101_c03_022m,derived
S0101,age,s0101_c03_023e,derived
S0101,age,s0101_c03_023m,derived
S0101,age,s0101_c03_024e,derived
S0101,age,s0101_c03_024m,derived
S0101,age,s0101_c03_025e,derived
S0101,age,s0101_c03_025m,derived
S0101,age,s0101_c03_026e,derived
S0101,age,s0101_c03_026m,derived
S0101,age,s0101_c03_027e,derived
S0101,age,s0101_c03_027m,derived
S0101,age,s0101_c03_028e,derived
S0101,age,s0101_c03_028m,derived
S0101,age,s0101_c03_029e,derived
S0101,age,s0101_c03_029m,derived
S0101,age,s0101_c03_030e,derived
S0101,age,s0101_c03_030m,derived
S0101,age,s0101_c03_031e,derived
S0101,age,s0101_c03_031m,derived
S0101,age,s0101_c03_032e,derived
S0101,age,s0101_c03_032m,derived
S0101,age,s0101_c04_002e,derived
S0101,age,s0101_c04_002m,derived
S0101,age,s0101_c04_003e,derived
S0101,age,s0101_c04_003m,derived
S0101,age,s0101_c04_004e,derived
S0101,age,s0101_c04_004m,derived
S0101,age,s0101_c04_005e,derived
S0101,age,s0101_c04_005m,derived
S0101,age,s0101_c04_006e,derived
S0101,age,s0101_c04_006m,derived
S0101,age,s0101_c04_007e,derived
S0101,age,s0101_c04_007m,derived
S0101,age,s0101_c04_008e,derived
S0101,age,s0101_c04_008m,derived
S0101,age,s0101_c04_009e,derived
S0101,age,s0101_c04_009m,derived
S0101,age,s0101_c04_010e,derived
S0101,age,s0101_c04_010m,derived
S0101,age,s0101_c04_011e,derived
S0101,age,s0101_c04_011m,derived
S0101,age,s0101_c04_012e,derived
S0101,age,s0101_c04_012m,derived
S0101,age,s0101_c04_013e,derived
S0101,age,s0101_c04_013m,derived
S0101,age,s0101_c04_014e,derived
S0101,age,s0101_c04_014m,derived
S0101,age,s0101_c04_015e,derived
S0101,age,s0101_c04_015m,derived
S0101,age,s0101_c04_016e,derived
S0101,age,s0101_c04_016m,derived
S0101,age,s0101_c04_017e,derived
S0101,age,s0101_c04_017m,derived
S0101,age,s0101_c04_018e,derived
S0101,age,s0101_c04_018m,derived
S0101,age,s0101_c04_019e,derived
S0101,age,s0101_c04_019m,derived
S0101,age,s0101_c04_020e,derived
S0101,age,s0101_c04_020m,derived
S0101,age,s0101_c04_021e,derived
S0101,age,s0101_c04_021m,derived
S0101,age,s0101_c04_022e,derived
S0101,age,s0101_c04_022m,derived
S0101,age,s0101_c04_023e,derived
S0101,age,s0101_c04_023m,derived
S0101,age,s0101_c04_024e,derived
S0101,age,s0101_c04_024m,derived
S0101,age,s0101_c04_025e,derived
S0101,age,s0101_c04_025m,derived
S0101,age,s0101_c04_026e,derived
S0101,age,s0101_c04_026m,derived
S0101,age,s0101_c04_027e,derived
S0101,age,s0101_c04_027m,derived
S0101,age,s0101_c04_028e,derived
S0101,age,s0101_c04_028m,derived
S0101,age,s0101_c04_029e,derived
S0101,age,s0101_c04_029m,derived
S0101,age,s0101_c04_030e,derived
S0101,age,s0101_c04_030m,derived
S0101,age,s0101_c04_031e,derived
S0101,age,s0101_c04_031m,derived
S0101,age,s0101_c05_001e,derived
S0101,age,s0101_c05_001m,derived
S0101,age,s0101_c05_002e,derived
S0101,age,s0101_c05_002m,derived
S0101,age,s0101_c05_003e,derived
S0101,age,s0101_c05_003m,derived
S0101,age,s0101_c05_004e,derived
S0101,age,s0101_c05_004m,derived
S0101,age,s0101_c05_005e,derived
S0101,age,s0101_c05_005m,derived
S0101,age,s0101_c05_006e,derived
S0101,age,s0101_c05_006m,derived
S0101,age,s0101_c05_007e,derived
S0101,age,s0101_c05_007m,derived
S0101,age,s0101_c05_008e,derived
S0101,age,s0101_c05_008m,derived
S0101,age,s0101_c05_009e,derived
S0101,age,s0101_c05_009m,derived
S0101,age,s0101_c05_010e,derived
S0101,age,s0101_c05_010m,derived
S0101,age,s0101_c05_011e,derived
S0101,age,s0101_c05_011m,derived
S0101,age,s0101_c05_012e,derived
S0101,age,s0101_c05_012m,derived
S0101,age,s0101_c05_013e,derived
S0101,age,s0101_c05_013m,derived
S0101,age,s0101_c05_014e,derived
S0101,age,s0101_c05_014m,derived
S0101,age,s0101_c05_015e,derived
S0101,age,s0101_c05_015m,derived
S0101,age,s0101_c05_016e,derived
S0101,age,s0101_c05_016m,derived
S0101,age,s0101_c05_017e,derived
S0101,age,s0101_c05_017m,derived
S0101,age,s0101_c05_018e,derived
S0101,age,s0101_c05_018m,derived
S0101,age,s0101_c05_019e,derived
S0101,age,s0101_c05_019m,derived
S0101,age,s0101_c05_020e,derived
S0101,age,s0101_c05_020m,derived
S0101,age,s0101_c05_021e,derived
S0101,age,s0101_c05_021m,derived
S0101,age,s0101_c05_022e,derived
S0101,age,s0101_c05_022m,derived
S0101,age,s0101_c05_023e,derived
S0101,age,s0101_c05_023m,derived
S0101,age,s0101_c05_024e,derived
S0101,age,s0101_c05_024m,derived
S0101,age,s0101_c05_025e,derived
S0101,age,s0101_c05_025m,derived
S0101,age,s0101_c05_026e,derived
S0101,age,s0101_c05_026m,derived
S0101,age,s0101_c05_027e,derived
S0101,age,s0101_c05_027m,derived
S0101,age,s0101_c05_028e,derived
S0101,age,s0101_c05_028m,derived
S0101,age,s0101_c05_029e,derived
S0101,age,s0101_c05_029m,derived
S0101,age,s0101_c05_030e,derived
S0101,age,s0101_c05_030m,derived
S0101,age,s0101_c05_031e,derived
S0101,age,s0101_c05_031m,derived
