year,tract_geoid,tract_name,geo_id,tractce
2019,17019010100,"Census Tract 101, Champaign County, Illinois",1400000US17019010100,010100
2021,17019010100,"Census Tract 101, Champaign County, Illinois",1400000US17019010100,010100
2022,17019010100,Census Tract 101; Champaign County; Illinois,1400000US17019010100,010100
2023,17019010100,Census Tract 101; Champaign County; Illinois,1400000US17019010100,010100
2019,17019010204,"Census Tract 102.04, Champaign County, Illinois",1400000US17019010204,010204
2021,17019010204,"Census Tract 102.04, Champaign County, Illinois",1400000US17019010204,010204
2022,17019010204,Census Tract 102.04; Champaign County; Illinois,1400000US17019010204,010204
2023,17019010204,Census Tract 102.04; Champaign County; Illinois,1400000US17019010204,010204
2019,17019010300,"Census Tract 103, Champaign County, Illinois",1400000US17019010300,010300
2021,17019010300,"Census Tract 103, Champaign County, Illinois",1400000US17019010300,010300
2022,17019010300,Census Tract 103; Champaign County; Illinois,1400000US17019010300,010300
2023,17019010300,Census Tract 103; Champaign County; Illinois,1400000US17019010300,010300
2019,17019010400,"Census Tract 104, Champaign County, Illinois",1400000US17019010400,010400
2021,17019010400,"Census Tract 104, Champaign County, Illinois",1400000US17019010400,010400
2022,17019010400,Census Tract 104; Champaign County; Illinois,1400000US17019010400,010400
2023,17019010400,Census Tract 104; Champaign County; Illinois,1400000US17019010400,010400
2019,17019010500,"Census Tract 105, Champaign County, Illinois",1400000US17019010500,010500
2021,17019010500,"Census Tract 105, Champaign County, Illinois",1400000US17019010500,010500
2022,17019010500,Census Tract 105; Champaign County; Illinois,1400000US17019010500,010500
2023,17019010500,Census Tract 105; Champaign County; Illinois,1400000US17019010500,010500
2019,17019010601,"Census Tract 106.01, Champaign County, Illinois",1400000US17019010601,010601
2021,17019010601,"Census Tract 106.01, Champaign County, Illinois",1400000US17019010601,010601
2022,17019010601,Census Tract 106.01; Champaign County; Illinois,1400000US17019010601,010601
2023,17019010601,Census Tract 106.01; Champaign County; Illinois,1400000US17019010601,010601
2019,17019010603,"Census Tract 106.03, Champaign County, Illinois",1400000US17019010603,010603
2021,17019010603,"Census Tract 106.03, Champaign County, Illinois",1400000US17019010603,010603
2022,17019010603,Census Tract 106.03; Champaign County; Illinois,1400000US17019010603,010603
2023,17019010603,Census Tract 106.03; Champaign County; Illinois,1400000US17019010603,010603
2019,17019010604,"Census Tract 106.04, Champaign County, Illinois",1400000US17019010604,010604
2021,17019010604,"Census Tract 106.04, Champaign County, Illinois",1400000US17019010604,010604
2022,17019010604,Census Tract 106.04; Champaign County; Illinois,1400000US17019010604,010604
2023,17019010604,Census Tract 106.04; Champaign County; Illinois,1400000US17019010604,010604
2021,17019010701,"Census Tract 107.01, Champaign County, Illinois",1400000US17019010701,010701
2022,17019010701,Census Tract 107.01; Champaign County; Illinois,1400000US17019010701,010701
2023,17019010701,Census Tract 107.01; Champaign County; Illinois,1400000US17019010701,010701
2021,17019010702,"Census Tract 107.02, Champaign County, Illinois",1400000US17019010702,010702
2022,17019010702,Census Tract 107.02; Champaign County; Illinois,1400000US17019010702,010702
2023,17019010702,Census Tract 107.02; Champaign County; Illinois,1400000US17019010702,010702
2019,17019010800,"Census Tract 108, Champaign County, Illinois",1400000US17019010800,010800
2021,17019010800,"Census Tract 108, Champaign County, Illinois",1400000US17019010800,010800
2022,17019010800,Census Tract 108; Champaign County; Illinois,1400000US17019010800,010800
2023,17019010800,Census Tract 108; Champaign County; Illinois,1400000US17019010800,010800
2021,17019010901,"Census Tract 109.01, Champaign County, Illinois",1400000US17019010901,010901
2022,17019010901,Census Tract 109.01; Champaign County; Illinois,1400000US17019010901,010901
2023,17019010901,Census Tract 109.01; Champaign County; Illinois,1400000US17019010901,010901
2021,17019010902,"Census Tract 109.02, Champaign County, Illinois",1400000US17019010902,010902
2022,17019010902,Census Tract 109.02; Champaign County; Illinois,1400000US17019010902,010902
2023,17019010902,Census Tract 109.02; Champaign County; Illinois,1400000US17019010902,010902
2021,17019011001,"Census Tract 110.01, Champaign County, Illinois",1400000US17019011001,011001
2022,17019011001,Census Tract 110.01; Champaign County; Illinois,1400000US17019011001,011001
2023,17019011001,Census Tract 110.01; Champaign County; Illinois,1400000US17019011001,011001
2021,17019011002,"Census Tract 110.02, Champaign County, Illinois",1400000US17019011002,011002
2022,17019011002,Census Tract 110.02; Champaign County; Illinois,1400000US17019011002,011002
2023,17019011002,Census Tract 110.02; Champaign County; Illinois,1400000US17019011002,011002
2019,17019011100,"Census Tract 111, Champaign County, Illinois",1400000US17019011100,011100
2021,17019011100,"Census Tract 111, Champaign County, Illinois",1400000US17019011100,011100
2022,17019011100,Census Tract 111; Champaign County; Illinois,1400000US17019011100,011100
2023,17019011100,Census Tract 111; Champaign County; Illinois,1400000US17019011100,011100
