year,tract_geoid,source_table,metric_group,metric_name,metric_kind,metric_value,geo_id,name,statefp,countyfp,tractce
2019,17019000200,S0101,age,s0101_c01_029e,derived,268.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_029m,derived,86.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_030e,derived,200.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_030m,derived,64.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_031e,derived,137.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_031m,derived,49.0,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_032e,derived,27.4,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_032m,derived,1.8,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_033e,derived,100.3,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_033m,derived,28.7,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_034e,derived,62.1,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_034m,derived,15.1,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_035e,derived,17.3,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_035m,derived,5.5,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_036e,derived,44.8,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c01_036m,derived,12.6,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c02_002e,derived,9.2,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c02_002m,derived,3.8,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c02_003e,derived,6.5,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c02_003m,derived,3.2,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c02_004e,derived,8.8,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c02_004m,derived,3.8,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c02_005e,derived,5.2,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
2019,17019000200,S0101,age,s0101_c02_005m,derived,3.9,1400000US17019000200,"Census Tract 2, Champaign County, Illinois",17,019,000200
