year,serialno,state,puma,wgtp,np,hincp,fincp,adjinc,hht,hht2,noc,npf,fparc,person_count,adult_count,college_age_count,student_enrolled_count,likely_college_student_count,employed_count,reference_person_count,reference_person_student_flag,has_any_likely_college_student,has_any_student,has_any_college_age_person,has_any_employed_person,student_share_of_persons,student_share_of_adults,college_age_share_of_persons,student_heavy_flag_rule_a,student_heavy_flag_rule_b,analysis_weight,hincp_adj_real,student_heavy_flag,hh_comp_key,below_alice_flag,annual_alice_threshold
2019,2019HU0947921,17,2100,12,1,25700.0,,1010145,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,12.0,25960.7265,0,1_adult_0_child,1,33838.68
2019,2019HU0950295,17,2100,96,1,27800.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,96.0,28082.031,0,1_adult_0_child,1,33838.68
2019,2019HU0970263,17,2100,99,3,2400.0,2400.0,1010145,1.0,2.0,0.0,3.0,4.0,3,3,1,1,1,2,1,0,1,1,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,99.0,2424.348,0,3plus_adult_0_child,1,55415.09
2019,2019HU0977414,17,2100,416,3,15000.0,15000.0,1010145,1.0,1.0,1.0,3.0,2.0,3,2,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,416.0,15152.175,0,2_adult_1_child,1,54273.58
2019,2019HU0977525,17,2100,61,2,39400.0,,1010145,5.0,4.0,0.0,,,2,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,61.0,39799.713,0,2_adult_0_child,1,45201.89
2019,2019HU0985066,17,2100,214,3,2000.0,,1010145,5.0,12.0,0.0,,,3,3,3,2,2,1,1,0,1,1,1,1,0.6666666666666666,0.6666666666666666,1.0,1,0,214.0,2020.29,0,3plus_adult_0_child,1,55415.09
2019,2019HU0986534,17,2100,13,3,34100.0,34100.0,1010145,1.0,1.0,1.0,3.0,1.0,3,2,0,0,0,2,1,0,0,0,0,1,0.0,0.0,0.0,0,0,13.0,34445.9445,0,2_adult_1_child,1,54273.58
2019,2019HU0989288,17,2100,127,2,33000.0,33000.0,1010145,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,127.0,33334.785,0,2_adult_0_child,1,45201.89
2019,2019HU0997499,17,2100,122,2,36000.0,36000.0,1010145,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,122.0,36365.22,0,2_adult_0_child,1,45201.89
2019,2019HU1003050,17,2100,74,6,35600.0,35600.0,1010145,1.0,1.0,1.0,6.0,2.0,6,5,2,1,0,2,1,0,0,1,1,1,0.0,0.0,0.3333333333333333,0,0,74.0,35961.162,0,3plus_adult_1plus_child,1,63384.91
2019,2019HU1003988,17,2100,636,2,35000.0,35000.0,1010145,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,2,1,0,0,0,0,1,0.0,0.0,0.0,0,0,636.0,35355.075,0,2_adult_0_child,1,45201.89
2019,2019HU1011125,17,2100,88,2,15000.0,15000.0,1010145,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,88.0,15152.175,0,2_adult_0_child,1,45201.89
2019,2019HU1018818,17,2100,95,1,13000.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,95.0,13131.885,0,1_adult_0_child,1,33838.68
2019,2019HU1019400,17,2100,122,9,14100.0,,1010145,5.0,12.0,0.0,,,9,9,9,9,9,2,1,1,1,1,1,1,1.0,1.0,1.0,1,0,122.0,14243.0445,0,3plus_adult_0_child,1,55415.09
2019,2019HU1026967,17,2100,74,2,43500.0,43500.0,1010145,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,74.0,43941.3075,0,2_adult_0_child,1,45201.89
2019,2019HU1030269,17,2100,27,1,22000.0,,1010145,4.0,9.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,27.0,22223.19,0,1_adult_0_child,1,33838.68
2019,2019HU1031299,17,2100,333,2,33300.0,,1010145,5.0,12.0,0.0,,,2,2,1,2,1,2,1,1,1,1,1,1,0.5,0.5,0.5,1,0,333.0,33637.8285,0,2_adult_0_child,1,45201.89
