year,tract_geoid,display_area_label,primary_place,primary_zip,landmark_context_note,tract_number,tract_name_canonical,is_stable_all_4_years,cluster_id,cluster_label,avg_household_size_v2,median_household_income,pct_age_18_24,pct_age_65_plus,pct_bachelors_or_higher,pct_family_households,pct_hh_income_100k_plus,pct_hh_income_25k_50k,pct_hh_income_50k_100k,pct_hh_income_under_25k,pct_households_with_own_children_under_18,pct_less_than_high_school,pct_one_person_households,pct_rent_burden_30_plus,pct_rent_burden_50_plus,pct_renter_occupied,pct_senior_living_alone_households,pct_some_college_or_associate,pct_vacant_housing_units,poverty_rate,unemployment_rate
2019,17019001201,Champaign — Mixed residential area,Champaign,61821.0,General tract context note not flagged by the current rule set.,12.01,Census Tract 12.01,1,0,cluster_0,0.07315304009124228,-0.3279934750349403,-0.44862669676530736,0.2057894967698371,-0.8835554494636958,0.2943981259994575,-0.6549768965301012,1.0224338929318684,0.21699938127089308,0.018367035479702486,-0.027348326510126062,0.8693298049140985,0.5146571561599728,-0.6961507725737978,-0.37076297489659826,0.1588292262201133,0.4874658389674223,0.6964770509346112,-0.4433486456502874,-0.21320753493551178,1.5336282705180437
2019,17019001203,Champaign — Senior-heavy residential area,Champaign,61821.0,Older age profile.,12.03,Census Tract 12.03,1,0,cluster_0,0.3174699895221868,0.7978317819517587,-0.5151344660233705,0.1085483059884853,0.028273774382838446,0.7182573979123047,0.7012448868874461,-0.5924959565948381,1.7386983267175176,-1.0480624765254065,-0.08347255809541092,-0.502022841167977,0.147857304532147,-1.83626283330124,-1.1749482315228026,-0.8814542790258626,1.3383965488624283,0.30268338457677474,-1.1213468708581364,-0.8845429309795944,-0.5412332596007567
2019,17019001204,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children; older age profile.,12.04,Census Tract 12.04,1,0,cluster_0,2.1193074915754004,2.3192801063423096,-0.6887936413083133,0.42458217602787834,0.6269495274133912,1.6083618689292851,2.224753938744162,-1.472271173128044,-0.07888652478817279,-1.0792968136971044,2.236913641508708,-0.45473481888928474,-0.4460091219129044,-1.0437914992874113,-1.6561410490122528,-1.016377605307342,1.2148743490389597,0.05025154716790505,-0.9094724254806835,-0.9768515479356557,-0.47207120859679663
2019,17019001205,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children.,12.05,Census Tract 12.05,1,0,cluster_0,0.5617869389531299,1.5865445409769647,-0.6961833934480981,-0.41412309446128004,1.092074535537128,0.7589132872590477,1.5974266820972791,-0.9299439848541501,-0.19512741645423415,-0.7624913938127414,0.917994199254515,0.018145403897637843,-0.8302756331420553,-0.706430471481996,-0.3221493169653011,-0.5376287791545208,0.2061097171472992,-1.4239503832998937,-0.7729311162374363,-0.6957298508421961,-0.9216245401225368
2019,17019001206,Champaign — Senior-heavy residential area,Champaign,61822.0,Older age profile.,12.06,Census Tract 12.06,1,0,cluster_0,-0.14062429066083484,1.8889532610960147,-0.6998782695179905,2.0655272704631886,0.9447081963296071,1.0231765680128742,1.9678484907840101,-0.9781508460340518,-0.2690988929690005,-0.9945178985167819,0.13488578041608765,-0.9749030639548997,0.6369237733692479,1.0691538853886116,0.7465271972193172,-1.342236813689505,1.053609254824987,-0.616168503591511,-1.438373818756251,-0.9306972394576251,-1.371177871648277
2019,17019001301,Champaign — Senior-heavy residential area,Champaign,61821.0,Older age profile.,13.01,Census Tract 13.01,1,0,cluster_0,-0.32386200273404325,0.6980931244325771,-0.5964217395610034,1.0931153626496715,0.8572094324251421,0.380034999304298,0.6295503432706593,-0.4237719424651824,0.7770691320255535,-0.6420160932933358,0.26116530148297856,-1.022191086233592,0.44479051775467254,-1.4774078895968648,-1.0653615111014039,-0.5073326797806116,0.37423715579590944,-0.9695730759639285,-0.37272383052446995,-0.6327921574630634,-0.29916608108689663
2019,17019001302,Savoy — Senior-heavy residential area,Savoy,61822.0,Older age profile.,13.02,Census Tract 13.02,1,0,cluster_0,-0.7819562829170635,1.4210422244463532,-0.6444551284696045,2.527422926674609,0.6822119046162112,0.19362342155487214,1.442088504260908,-0.9660991307390764,0.03735436687788892,-0.735719104808429,-0.08610338145097124,-0.4783788300286309,3.0997227771560785,1.6008946743672308,0.014026487034177993,-0.793031942481081,0.45315411679423656,-0.25266665772273855,-0.6473758893470939,-0.7460800055455025,-0.3683281320908567
2019,17019001400,Champaign — Family-oriented residential area,Champaign,61874.0,Higher student concentration; more households with children.,14,Census Tract 14,1,0,cluster_0,0.5312473202742626,0.11437558112268285,0.8113260430680007,-0.9124841972157076,1.1933888937422985,0.08852362249893138,0.8087867023126258,-0.2670996436305018,-0.6917930444819517,-0.20919742105695266,0.8951937301729929,-0.07643064065974677,0.4971904965586478,1.156998585149579,-0.31308575362217766,0.198636891676529,-0.3017037710158495,-1.222004913372798,-0.9549861952284326,-0.17964076513330765,-0.9562055656245169
2019,17019005300,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,53,Census Tract 53,1,1,cluster_1,-0.3544016214129106,-1.1240981387405868,0.8298004234174627,-1.0583459833877353,-0.21580172492961786,-1.0654116198107393,-1.1090423394364166,0.02214152344890818,-0.6072542141793618,1.0758724511500408,-1.0866931976823768,0.7038217269386757,-1.3892087403844566,-0.9484706548659363,-0.30402219027905447,1.1670552309657898,-1.0256811088700684,0.08054336765696948,1.0256475089667179,1.0581338713229695,1.0149128879883436
2019,17019005401,Urbana — Mixed residential area,Urbana,61802.0,Renter-heavy housing profile; more very-low-income households.,54.01,Census Tract 54.01,1,0,cluster_0,-1.6065259872464999,-0.6839848281427224,-0.10500322226531426,-0.2804164571369215,-0.5704019786477142,-0.5541854367485088,-1.0015005240112367,1.8178471024002465,0.09019113581700781,0.036215228149243994,-0.13433514296957513,0.7511097492173678,-0.6206757179261548,0.8158994850139091,-0.32709307878882277,0.5435192322237046,-0.8095172591789984,-0.010332093810223807,-0.44020976497802894,0.18120201024038662,1.2223990410002235
