year,tract_geoid,display_area_label,primary_place,primary_zip,landmark_context_note,centroid_lat,centroid_lon,tract_number,tract_name_canonical,is_stable_all_4_years,avg_household_size_v2,employment_population_ratio,labor_force_participation_rate,median_household_income,pct_age_18_24,pct_age_65_plus,pct_age_under_18,pct_bachelors_or_higher,pct_black_non_hispanic,pct_family_households,pct_hh_income_100k_plus,pct_hh_income_25k_50k,pct_hh_income_50k_100k,pct_hh_income_under_25k,pct_high_school_grad,pct_hispanic,pct_households_with_65_plus,pct_households_with_own_children_under_18,pct_less_than_high_school,pct_nonfamily_households,pct_one_person_households,pct_owner_occupied,pct_rent_burden_30_plus,pct_rent_burden_50_plus,pct_renter_occupied,pct_senior_living_alone_households,pct_some_college_or_associate,pct_speak_language_other_than_english_at_home,pct_vacant_housing_units,pct_white_non_hispanic,poverty_rate,total_population,unemployment_rate
2019,17019005402,Urbana — Senior-heavy residential area,Urbana,61802.0,Older age profile.,40.13372172026016,-88.15811803810122,54.02,Census Tract 54.02,1,2.27,54.9,59.4,45361.0,8.0,17.7,19.5,24.1,4.23,52.26,12.9,28.1,33.6,25.5,25.3,10.16,37.1,21.32,13.8,47.74,10.2,78.55,43.32,14.24,21.45,41.2,36.8,21.2,5.13,76.71,18.0,3572.0,7.5
2019,17019005500,Urbana — Senior-heavy residential area,Urbana,61802.0,Older age profile.,40.112514816139694,-88.16225777747607,55,Census Tract 55,1,2.05,64.7,67.6,50370.0,5.8,20.3,16.0,40.8,8.19,52.01,26.2,31.1,24.5,18.3,24.4,10.67,37.6,18.06,7.7,47.99,11.8,67.25,37.2,16.97,32.75,72.2,27.1,10.5,20.86,72.64,12.3,4825.0,4.3
2019,17019005600,,,,,,,56,Census Tract 56,0,2.3,68.8,74.3,60774.0,9.3,10.1,25.5,52.3,23.06,59.64,21.4,19.9,33.8,25.1,16.6,7.47,33.9,28.1,5.2,40.36,8.0,54.17,50.53,34.72,45.83,71.1,25.8,14.4,7.89,60.39,14.8,7104.0,7.4
2019,17019005701,Urbana — Senior-heavy residential area,Urbana,61801.0,Older age profile.,40.09105574261328,-88.20007432256959,57.01,Census Tract 57.01,1,2.13,60.2,64.5,50253.0,9.0,19.5,19.9,61.6,20.3,52.27,25.6,19.5,24.7,30.2,22.6,8.15,42.0,24.54,2.7,47.73,18.1,53.03,55.05,29.6,46.97,61.6,13.1,18.6,12.14,58.32,14.7,5045.0,6.7
2019,17019005702,Urbana — Senior-heavy residential area,Urbana,61802.0,Older age profile.,40.06740664849926,-88.17760194654306,57.02,Census Tract 57.02,1,2.02,48.7,49.5,58590.0,17.4,26.3,11.0,62.0,13.14,44.5,32.3,15.1,24.2,28.4,16.0,0.23,41.4,9.76,1.2,55.5,21.8,42.96,50.83,29.25,57.04,45.1,20.7,23.2,2.65,60.84,19.6,3555.0,1.5
2019,17019005800,Urbana — Higher economic stress area,Urbana,61801.0,Higher poverty rate; more very-low-income households.,40.10475237949838,-88.21211097927552,58,Census Tract 58,1,2.36,58.8,60.7,49855.0,30.4,13.8,13.5,82.0,3.96,42.22,32.0,16.5,17.8,33.6,4.2,8.61,36.8,16.82,1.1,57.78,4.7,52.93,43.24,28.78,47.07,55.4,12.7,26.9,13.09,68.48,27.0,3890.0,3.1
2019,17019005900,,,,,,,59,Census Tract 59,0,2.03,33.6,36.0,10988.0,90.0,0.1,1.6,95.9,5.8,7.07,3.6,14.8,9.2,72.2,0.4,7.99,48.5,0.0,0.0,92.93,0.0,5.66,66.73,48.27,94.34,6.0,3.7,38.5,19.44,51.87,70.7,6054.0,6.6
2019,17019006000,Urbana — Student-dense area,Urbana,61802.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,40.07547752312056,-88.2230059485385,60,Census Tract 60,1,1.74,30.7,32.5,21354.0,66.8,1.5,5.7,92.7,11.26,26.13,4.7,20.7,14.5,60.1,5.5,8.42,63.7,17.92,0.0,73.87,0.8,1.23,47.92,22.71,98.77,5.3,1.7,42.5,12.98,45.99,41.8,3551.0,5.6
2019,17019010100,Rantoul — Mixed residential area,Rantoul,61866.0,General tract context note not flagged by the current rule set.,40.32658663906694,-88.14527489964055,101,Census Tract 101,1,2.45,63.2,66.1,41276.0,4.6,16.1,35.4,19.9,23.76,54.67,9.2,33.1,25.0,32.6,39.4,9.71,42.0,30.89,14.2,45.33,17.1,44.42,54.63,28.3,55.58,57.4,26.5,12.6,11.36,60.45,14.6,5151.0,4.3
2019,17019010204,Rantoul — Mixed residential area,Rantoul,61866.0,General tract context note not flagged by the current rule set.,40.302778756080926,-88.15757778235168,102.04,Census Tract 102.04,1,2.71,59.3,64.0,47042.0,9.5,14.6,25.7,14.4,20.22,67.64,14.0,31.5,35.1,19.3,40.8,17.23,28.1,28.79,10.0,32.36,12.9,66.53,52.8,20.63,33.47,76.5,34.8,17.4,17.0,59.23,16.4,4673.0,7.3
2019,17019010300,Rantoul — Family-oriented residential area,Rantoul,61866.0,Renter-heavy housing profile; higher poverty rate; more households with children.,40.29292648139781,-88.14451450086497,103,Census Tract 103,1,2.73,56.9,60.9,37778.0,12.3,6.3,37.5,16.3,32.49,61.09,12.0,37.0,24.5,26.6,34.0,7.69,32.7,33.36,5.5,38.91,9.5,27.82,50.19,24.41,72.18,47.6,44.2,7.3,19.51,53.63,27.1,3420.0,6.5
2019,17019010400,Rantoul — Senior-heavy residential area,Rantoul,61866.0,Older age profile.,40.31246101875809,-88.07684464115012,104,Census Tract 104,1,2.42,63.5,66.0,70182.0,8.2,21.2,19.5,19.2,1.44,67.83,30.0,22.2,35.0,12.8,40.1,2.46,24.2,23.41,6.1,32.17,10.6,78.4,31.45,12.29,21.6,84.9,34.5,2.9,13.62,94.89,7.7,4637.0,3.8
2019,17019010500,Fisher — Family-oriented residential area,Fisher,61843.0,More households with children; older age profile.,40.31102797712141,-88.3465464139626,105,Census Tract 105,1,2.65,63.1,65.2,83728.0,7.8,19.0,23.8,33.8,0.16,75.55,38.4,17.0,35.2,9.5,28.6,1.12,20.2,29.85,3.4,24.45,8.9,87.54,29.05,7.14,12.46,91.0,34.3,2.8,10.32,97.29,4.1,4473.0,3.2
2019,17019010601,Mahomet — Family-oriented residential area,Mahomet,61853.0,More households with children.,40.19961782801814,-88.42895481438009,106.01,Census Tract 106.01,1,2.99,66.4,69.9,94828.0,10.2,10.3,26.2,48.9,0.37,83.36,46.7,11.4,37.3,4.6,21.2,6.85,14.8,39.47,1.3,16.64,7.1,81.13,23.46,8.64,18.87,87.7,28.5,6.3,1.47,90.51,1.6,6427.0,5.0
2019,17019010603,Mahomet — Family-oriented residential area,Mahomet,61853.0,More households with children.,40.1817205433639,-88.37801740861045,106.03,Census Tract 106.03,1,2.68,70.3,71.7,91607.0,7.8,12.9,29.5,43.3,0.37,75.24,45.8,15.8,25.9,12.5,18.6,4.36,20.9,38.24,2.3,24.76,11.0,83.72,42.33,23.49,16.28,74.0,35.8,4.2,14.81,93.42,8.1,7068.0,2.0
2019,17019010604,Champaign — Senior-heavy residential area,Champaign,61822.0,Older age profile.,40.15205846523014,-88.30267282672077,106.04,Census Tract 106.04,1,2.28,61.8,64.5,60824.0,8.1,26.9,15.1,24.1,0.25,71.32,30.5,20.1,32.5,16.9,38.8,2.68,24.8,19.5,4.3,28.68,9.0,72.37,49.48,24.91,27.63,83.6,32.9,4.8,10.75,91.09,12.0,2390.0,4.3
