year,tract_geoid,display_area_label,primary_place,primary_zip,landmark_context_note,centroid_lat,centroid_lon,tract_number,tract_name_canonical,is_stable_all_4_years,avg_household_size_v2,employment_population_ratio,labor_force_participation_rate,median_household_income,pct_age_18_24,pct_age_65_plus,pct_age_under_18,pct_bachelors_or_higher,pct_black_non_hispanic,pct_family_households,pct_hh_income_100k_plus,pct_hh_income_25k_50k,pct_hh_income_50k_100k,pct_hh_income_under_25k,pct_high_school_grad,pct_hispanic,pct_households_with_65_plus,pct_households_with_own_children_under_18,pct_less_than_high_school,pct_nonfamily_households,pct_one_person_households,pct_owner_occupied,pct_rent_burden_30_plus,pct_rent_burden_50_plus,pct_renter_occupied,pct_senior_living_alone_households,pct_some_college_or_associate,pct_speak_language_other_than_english_at_home,pct_vacant_housing_units,pct_white_non_hispanic,poverty_rate,total_population,unemployment_rate
2021,17019005401,Census Tract 54.01 — Mixed residential area,,61802.0,Renter-heavy housing profile; more very-low-income households.,40.12462916764154,-88.19476931100071,54.01,Census Tract 54.01,1,1.84,69.1,73.5,35521.0,18.2,12.9,21.1,34.7,22.67,43.35,5.5,36.8,21.6,36.2,33.3,6.67,17.1,22.43,5.6,56.65,50.7,31.57,60.61,19.16,68.43,6.2,26.4,6.1,10.65,67.42,22.5,4094.0,6.0
2021,17019005402,Census Tract 54.02 — Senior-heavy residential area,,61802.0,Older age profile.,40.13372172026016,-88.15811803810122,54.02,Census Tract 54.02,1,2.34,57.1,62.7,59452.0,6.4,16.9,18.1,24.1,11.19,56.03,13.0,19.1,49.2,18.7,21.1,11.44,28.0,19.65,17.5,43.97,30.0,72.13,23.01,5.65,27.87,7.8,37.4,18.1,4.14,64.63,19.1,4020.0,9.0
2021,17019005500,Urbana — Senior-heavy residential area,Urbana,61802.0,Older age profile.,40.112514816139694,-88.16225777747607,55,Census Tract 55,1,2.05,66.4,67.8,59219.0,4.7,17.0,13.0,41.7,12.36,47.49,28.9,23.8,27.9,19.6,20.9,11.72,20.9,13.28,10.0,52.51,38.4,56.28,36.61,21.75,43.72,8.0,27.5,12.3,18.05,64.3,12.2,4669.0,2.0
2021,17019005601,Urbana — Mixed residential area,Urbana,61802.0,General tract context note not flagged by the current rule set.,40.10208937360753,-88.18375039736316,56.01,Census Tract 56.01,0,2.32,64.6,71.9,48702.0,10.9,12.3,25.1,53.1,24.15,47.88,16.0,28.1,31.3,24.7,17.4,6.4,22.9,23.07,2.7,52.12,40.3,49.37,47.65,31.13,50.63,12.5,26.8,14.7,5.86,58.8,11.1,5738.0,10.2
2021,17019005602,Census Tract 56.02 — Senior-heavy residential area,,61802.0,Renter-heavy housing profile; older age profile.,40.08621676735095,-88.14961203417526,56.02,Census Tract 56.02,0,1.81,57.2,57.6,49125.0,21.1,22.3,8.9,59.6,18.6,38.16,30.7,31.9,18.2,19.3,13.0,2.78,28.3,7.65,3.8,61.84,43.6,31.09,50.12,17.66,68.91,16.0,23.6,22.2,2.64,54.06,18.3,2264.0,0.6
2021,17019005701,Urbana — Senior-heavy residential area,Urbana,61801.0,Older age profile.,40.09105574261328,-88.20007432256959,57.01,Census Tract 57.01,1,2.08,48.9,55.1,44333.0,9.3,27.3,15.7,51.5,15.39,56.55,25.4,21.8,23.8,28.8,19.0,10.63,39.9,19.22,2.4,43.45,35.3,50.65,59.21,37.9,49.35,17.0,27.1,22.6,9.16,62.96,17.2,4835.0,11.2
2021,17019005702,Census Tract 57.02 — Senior-heavy residential area,,61802.0,Older age profile.,40.06740664849926,-88.17760194654306,57.02,Census Tract 57.02,1,2.31,51.9,51.9,124125.0,3.7,34.9,18.8,71.8,8.92,69.35,57.8,7.8,25.6,8.8,11.4,0.42,52.3,19.21,1.0,30.65,29.0,79.03,37.06,37.06,20.97,27.1,15.8,12.6,3.54,75.25,5.1,1681.0,0.0
2021,17019005800,Urbana — Higher economic stress area,Urbana,61801.0,Higher poverty rate; more very-low-income households.,40.10475237949838,-88.21211097927552,58,Census Tract 58,1,2.44,62.0,64.3,63750.0,33.7,14.0,9.4,84.4,3.59,38.97,37.2,11.5,23.4,27.9,2.9,10.83,22.1,15.41,1.5,61.03,40.0,53.84,53.56,39.61,46.16,7.7,11.2,25.3,13.15,66.55,30.8,3674.0,3.6
2021,17019005901,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,40.10368062196141,-88.22003620975573,59.01,Census Tract 59.01,0,1.74,34.0,35.7,,93.3,0.0,0.4,64.0,3.78,15.74,7.3,4.1,1.0,87.6,5.0,12.88,0.0,0.0,31.1,84.26,54.6,5.84,53.64,52.02,94.16,0.0,0.0,26.5,15.99,64.96,83.1,2563.0,4.9
2021,17019005902,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,40.107516861666255,-88.22420061157668,59.02,Census Tract 59.02,0,1.77,36.1,36.7,14256.0,87.2,0.1,2.2,77.7,2.81,8.06,0.0,22.1,12.4,65.6,11.3,8.61,0.0,4.96,0.0,91.94,65.1,0.0,61.09,34.26,100.0,0.0,11.0,36.5,28.49,47.65,58.8,2915.0,1.8
