serialno,state,puma,wgtp,np,hincp,fincp,adjinc,hht,hht2,noc,npf,fparc,person_count,adult_count,college_age_count,student_enrolled_count,likely_college_student_count,employed_count,reference_person_count,reference_person_student_flag,has_any_likely_college_student,has_any_student,has_any_college_age_person,has_any_employed_person,student_share_of_persons,student_share_of_adults,college_age_share_of_persons,student_heavy_flag_rule_a,student_heavy_flag_rule_b,analysis_weight,hincp_adj_real,student_heavy_flag,hh_comp_key,below_alice_flag,annual_alice_threshold
2021HU0205894,17,2100,125,3,53600.0,53600.0,1029928,1.0,1.0,1.0,3.0,2.0,3,2,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,125.0,55204.1408,0,2_adult_1_child,1,56444.53
2021HU0206814,17,2100,120,2,33000.0,,1029928,7.0,4.0,0.0,,,2,2,0,1,0,2,1,0,0,1,0,1,0.0,0.0,0.0,0,0,120.0,33987.624,0,2_adult_0_child,1,49309.96
2021HU0207909,17,2100,179,2,0.0,,1029928,5.0,12.0,0.0,,,2,2,2,2,2,0,1,1,1,1,1,0,1.0,1.0,1.0,1,1,179.0,0.0,1,2_adult_0_child,1,49309.96
2021HU0212587,17,2100,423,2,6000.0,,1029928,5.0,12.0,0.0,,,2,2,2,2,2,2,1,1,1,1,1,1,1.0,1.0,1.0,1,0,423.0,6179.568,0,2_adult_0_child,1,49309.96
2021HU0223552,17,2100,248,4,39200.0,39200.0,1029928,3.0,7.0,0.0,4.0,4.0,4,4,1,0,0,2,1,0,0,0,1,1,0.0,0.0,0.25,0,0,248.0,40373.1776,0,3plus_adult_0_child,1,57631.7
2021HU0224134,17,2100,98,2,38900.0,38900.0,1029928,2.0,11.0,0.0,2.0,4.0,2,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,98.0,40064.1992,0,2_adult_0_child,1,49309.96
2021HU0226062,17,2100,10,1,15000.0,,1029928,6.0,5.0,0.0,,,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,0,10.0,15448.92,0,1_adult_0_child,1,37492.23
2021HU0229133,17,2100,35,3,47400.0,,1029928,5.0,12.0,0.0,,,3,3,0,1,0,3,1,0,0,1,0,1,0.0,0.0,0.0,0,0,35.0,48818.5872,0,3plus_adult_0_child,1,57631.7
2021HU0231085,17,2100,96,1,32000.0,,1029928,6.0,5.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,96.0,32957.696,0,1_adult_0_child,1,37492.23
2021HU0233619,17,2100,90,2,5700.0,5700.0,1029928,1.0,2.0,0.0,2.0,4.0,2,2,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,90.0,5870.5896,0,2_adult_0_child,1,49309.96
2021HU0236323,17,2100,121,2,24300.0,24300.0,1029928,3.0,7.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,121.0,25027.2504,0,2_adult_0_child,1,49309.96
2021HU0238831,17,2100,24,2,24300.0,24300.0,1029928,1.0,2.0,0.0,2.0,4.0,2,2,0,2,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,24.0,25027.2504,0,2_adult_0_child,1,49309.96
2021HU0241111,17,2100,66,1,35000.0,,1029928,6.0,5.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,66.0,36047.48,0,1_adult_0_child,1,37492.23
2021HU0245444,17,2100,34,2,30000.0,30000.0,1029928,3.0,6.0,1.0,2.0,1.0,2,1,1,1,0,1,1,0,0,1,1,1,0.0,0.0,0.5,0,0,34.0,30897.84,0,1_adult_1_child,1,41270.34
2021HU0259562,17,2100,253,1,35000.0,,1029928,4.0,9.0,0.0,,,1,1,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,253.0,36047.48,0,1_adult_0_child,1,37492.23
2021HU0261238,17,2100,98,2,19550.0,19550.0,1029928,1.0,2.0,0.0,2.0,4.0,2,2,1,1,1,1,1,0,1,1,1,1,0.5,0.5,0.5,1,0,98.0,20135.0924,0,2_adult_0_child,1,49309.96
2021HU0266180,17,2100,51,1,32000.0,,1029928,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,51.0,32957.696,0,1_adult_0_child,1,37492.23
2021HU0273126,17,2100,139,1,35000.0,,1029928,6.0,5.0,0.0,,,1,1,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,139.0,36047.48,0,1_adult_0_child,1,37492.23
2021HU0286580,17,2100,117,2,35000.0,,1029928,7.0,4.0,0.0,,,2,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,117.0,36047.48,0,2_adult_0_child,1,49309.96
2021HU0302908,17,2100,12,4,40000.0,40000.0,1029928,1.0,1.0,2.0,4.0,1.0,4,2,1,0,0,1,1,0,0,0,1,1,0.0,0.0,0.25,0,0,12.0,41197.12,0,2_adult_2plus_child,1,64765.51
2021HU0310130,17,2100,77,2,5500.0,,1029928,7.0,8.0,0.0,,,2,2,2,2,2,1,1,1,1,1,1,1,1.0,1.0,1.0,1,0,77.0,5664.604,0,2_adult_0_child,1,49309.96
2021HU0311292,17,2100,98,4,46100.0,46100.0,1029928,1.0,2.0,0.0,4.0,4.0,4,4,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,98.0,47479.6808,0,3plus_adult_0_child,1,57631.7
2021HU0312496,17,2100,155,1,17400.0,,1029928,4.0,9.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,155.0,17920.7472,0,1_adult_0_child,1,37492.23
2021HU0320957,17,2100,76,2,21000.0,21000.0,1029928,1.0,2.0,0.0,2.0,4.0,2,2,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,76.0,21628.488,0,2_adult_0_child,1,49309.96
2021HU0327378,17,2100,18,1,10000.0,,1029928,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,18.0,10299.28,0,1_adult_0_child,1,37492.23
2021HU0332194,17,2100,178,1,36000.0,,1029928,4.0,9.0,0.0,,,1,1,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,178.0,37077.408,0,1_adult_0_child,1,37492.23
2021HU0333594,17,2100,65,2,38000.0,,1029928,5.0,4.0,0.0,,,2,2,0,0,0,2,1,0,0,0,0,1,0.0,0.0,0.0,0,0,65.0,39137.264,0,2_adult_0_child,1,49309.96
2021HU0350356,17,2100,285,1,0.0,,1029928,6.0,5.0,0.0,,,1,1,1,1,1,0,1,1,1,1,1,0,1.0,1.0,1.0,1,1,285.0,0.0,1,1_adult_0_child,1,37492.23
2021HU0354203,17,2100,111,1,4500.0,,1029928,6.0,5.0,0.0,,,1,1,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,111.0,4634.676,0,1_adult_0_child,1,37492.23
2021HU0363355,17,2100,32,2,35800.0,,1029928,7.0,4.0,0.0,,,2,2,1,1,1,2,1,0,1,1,1,1,0.5,0.5,0.5,1,0,32.0,36871.4224,0,2_adult_0_child,1,49309.96
2021HU0369308,17,2100,61,3,47800.0,47800.0,1029928,1.0,2.0,0.0,3.0,4.0,3,3,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,61.0,49230.5584,0,3plus_adult_0_child,1,57631.7
2021HU0375353,17,2100,193,4,33700.0,33700.0,1029928,1.0,1.0,2.0,4.0,2.0,4,2,0,2,0,2,1,0,0,1,0,1,0.0,0.0,0.0,0,0,193.0,34708.5736,0,2_adult_2plus_child,1,64765.51
2021HU0378712,17,2100,13,1,32400.0,,1029928,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,13.0,33369.6672,0,1_adult_0_child,1,37492.23
2021HU0379826,17,2100,18,1,0.0,,1029928,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,18.0,0.0,0,1_adult_0_child,1,37492.23
2021HU0385339,17,2100,73,3,35900.0,35900.0,1029928,3.0,7.0,0.0,2.0,4.0,3,3,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,73.0,36974.4152,0,3plus_adult_0_child,1,57631.7
2021HU0387714,17,2100,53,1,5000.0,,1029928,4.0,9.0,0.0,,,1,1,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,53.0,5149.64,0,1_adult_0_child,1,37492.23
2021HU0391264,17,2100,237,3,41000.0,41000.0,1029928,1.0,1.0,1.0,3.0,1.0,3,2,0,1,0,2,1,0,0,1,0,1,0.0,0.0,0.0,0,0,237.0,42227.048,0,2_adult_1_child,1,56444.53
2021HU0393727,17,2100,122,2,36600.0,36600.0,1029928,3.0,7.0,0.0,2.0,4.0,2,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,122.0,37695.3648,0,2_adult_0_child,1,49309.96
2021HU0397799,17,2100,110,3,33100.0,33100.0,1029928,3.0,7.0,0.0,3.0,4.0,3,3,1,1,0,2,1,0,0,1,1,1,0.0,0.0,0.3333333333333333,0,0,110.0,34090.6168,0,3plus_adult_0_child,1,57631.7
2021HU0399049,17,2100,91,1,3000.0,,1029928,6.0,5.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,91.0,3089.784,0,1_adult_0_child,1,37492.23
2021HU0414756,17,2100,74,3,1404.0,1404.0,1029928,1.0,1.0,1.0,3.0,2.0,3,2,0,1,0,2,1,0,0,1,0,1,0.0,0.0,0.0,0,0,74.0,1446.018912,0,2_adult_1_child,1,56444.53
2021HU0419948,17,2100,51,5,32000.0,32000.0,1029928,1.0,1.0,3.0,5.0,2.0,5,2,0,3,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,51.0,32957.696,0,2_adult_2plus_child,1,64765.51
2021HU0421360,17,2100,18,1,0.0,,1029928,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,18.0,0.0,0,1_adult_0_child,1,37492.23
2021HU0423884,17,2100,181,2,7200.0,,1029928,7.0,8.0,0.0,,,2,2,2,2,2,2,1,1,1,1,1,1,1.0,1.0,1.0,1,0,181.0,7415.4816,0,2_adult_0_child,1,49309.96
2021HU0424295,17,2100,23,2,17800.0,17800.0,1029928,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,23.0,18332.7184,0,2_adult_0_child,1,49309.96
2021HU0425394,17,2100,43,1,3000.0,,1029928,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,43.0,3089.784,0,1_adult_0_child,1,37492.23
2021HU0426138,17,2100,150,1,35000.0,,1029928,6.0,5.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,150.0,36047.48,0,1_adult_0_child,1,37492.23
2021HU0431293,17,2100,87,3,33000.0,33000.0,1029928,1.0,1.0,1.0,3.0,1.0,3,2,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,87.0,33987.624,0,2_adult_1_child,1,56444.53
2021HU0433783,17,2100,111,1,13000.0,,1029928,6.0,5.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,111.0,13389.064,0,1_adult_0_child,1,37492.23
2021HU0437713,17,2100,180,1,32000.0,,1029928,4.0,9.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,180.0,32957.696,0,1_adult_0_child,1,37492.23
2021HU0440497,17,2100,32,2,15100.0,15100.0,1029928,3.0,7.0,0.0,2.0,4.0,2,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,32.0,15551.9128,0,2_adult_0_child,1,49309.96
2021HU0440545,17,2100,27,3,39000.0,38000.0,1029928,2.0,3.0,1.0,2.0,1.0,3,2,1,2,1,1,1,0,1,1,1,1,0.3333333333333333,0.5,0.3333333333333333,1,0,27.0,40167.192,0,2_adult_1_child,1,56444.53
2021HU0441489,17,2100,74,5,34800.0,34800.0,1029928,3.0,6.0,4.0,5.0,3.0,5,1,0,2,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0,0,74.0,35841.4944,0,1_adult_2plus_child,1,55969.66
2021HU0452460,17,2100,142,2,30000.0,30000.0,1029928,2.0,11.0,0.0,2.0,4.0,2,2,2,0,0,1,1,0,0,0,1,1,0.0,0.0,1.0,0,0,142.0,30897.84,0,2_adult_0_child,1,49309.96
2021HU0452610,17,2100,94,5,21000.0,21000.0,1029928,1.0,1.0,3.0,5.0,3.0,5,2,0,1,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0,0,94.0,21628.488,0,2_adult_2plus_child,1,64765.51
2021HU0459296,17,2100,108,1,35400.0,,1029928,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,108.0,36459.4512,0,1_adult_0_child,1,37492.23
2021HU0467885,17,2100,24,1,28000.0,,1029928,6.0,5.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,24.0,28837.984,0,1_adult_0_child,1,37492.23
2021HU0477407,17,2100,92,1,29000.0,,1029928,6.0,5.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,92.0,29867.912,0,1_adult_0_child,1,37492.23
2021HU0484735,17,2100,166,2,43000.0,43000.0,1029928,1.0,2.0,0.0,2.0,4.0,2,2,0,2,0,2,1,0,0,1,0,1,0.0,0.0,0.0,0,0,166.0,44286.904,0,2_adult_0_child,1,49309.96
2021HU0491459,17,2100,12,2,46300.0,46300.0,1029928,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,12.0,47685.6664,0,2_adult_0_child,1,49309.96
2021HU0492642,17,2100,40,1,32600.0,,1029928,4.0,9.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,40.0,33575.6528,0,1_adult_0_child,1,37492.23
2021HU0500299,17,2100,60,2,25000.0,,1029928,7.0,8.0,0.0,,,2,2,1,2,1,1,1,1,1,1,1,1,0.5,0.5,0.5,1,0,60.0,25748.2,0,2_adult_0_child,1,49309.96
2021HU0516333,17,2100,378,2,34000.0,,1029928,7.0,4.0,0.0,,,2,2,2,1,1,1,1,1,1,1,1,1,0.5,0.5,1.0,1,0,378.0,35017.552,0,2_adult_0_child,1,49309.96
2021HU0524431,17,2100,117,1,36000.0,,1029928,4.0,9.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,117.0,37077.408,0,1_adult_0_child,1,37492.23
2021HU0540415,17,2100,126,1,8500.0,,1029928,4.0,9.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,126.0,8754.388,0,1_adult_0_child,1,37492.23
2021HU0542215,17,2100,65,2,41300.0,41300.0,1029928,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,65.0,42536.0264,0,2_adult_0_child,1,49309.96
2021HU0543121,17,2100,115,1,30000.0,,1029928,4.0,9.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,115.0,30897.84,0,1_adult_0_child,1,37492.23
2021HU0546608,17,2100,14,1,25330.0,,1029928,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,14.0,26088.07624,0,1_adult_0_child,1,37492.23
2021HU0551459,17,2100,24,1,15400.0,,1029928,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,24.0,15860.8912,0,1_adult_0_child,1,37492.23
