year,tract_geoid,display_area_label,raw_metric_value,z_score,directed_component,metric
2021,17019011100,Urbana — Student-dense area,52.6,1.2260631275127647,1.2260631275127647,poverty_rate
2022,17019000200,Champaign — Higher economic stress area,40.3,0.7217299467612035,0.7217299467612035,poverty_rate
2022,17019000301,Champaign — Student-dense area,84.2,2.542210367895042,2.542210367895042,poverty_rate
2022,17019000302,Champaign — Student-dense area,63.2,1.6713655195166683,1.6713655195166683,poverty_rate
2022,17019000401,Champaign — Student-dense area,90.9,2.820051343330047,2.820051343330047,poverty_rate
2022,17019000402,Champaign — Student-dense area,87.3,2.670763655036611,2.670763655036611,poverty_rate
2022,17019000500,Champaign — Mixed residential area,19.1,-0.1574086620779162,-0.1574086620779162,poverty_rate
2022,17019000700,Champaign — Mixed residential area,28.7,0.24069184003791158,0.24069184003791158,poverty_rate
2022,17019000800,Champaign — Mixed residential area,11.8,-0.4601309188951604,-0.4601309188951604,poverty_rate
2022,17019000901,Champaign — Family-oriented residential area,19.0,-0.16155554230828947,-0.16155554230828947,poverty_rate
2022,17019000902,Census Tract 9.02 — Family-oriented residential area,9.2,-0.5679498048848638,-0.5679498048848638,poverty_rate
2022,17019001000,Champaign — Mixed residential area,19.7,-0.13252738069567707,-0.13252738069567707,poverty_rate
2022,17019001100,Champaign — Senior-heavy residential area,4.8,-0.7504125350212849,-0.7504125350212849,poverty_rate
2022,17019001201,Champaign — Mixed residential area,18.8,-0.16984930276903587,-0.16984930276903587,poverty_rate
2022,17019001203,Champaign — Senior-heavy residential area,1.9,-0.870672061702108,-0.870672061702108,poverty_rate
2022,17019001204,Champaign — Family-oriented residential area,4.0,-0.7835875768642706,-0.7835875768642706,poverty_rate
2022,17019001205,Champaign — Family-oriented residential area,11.2,-0.48501220027739966,-0.48501220027739966,poverty_rate
2022,17019001206,Census Tract 12.06 — Senior-heavy residential area,4.7,-0.7545594152516581,-0.7545594152516581,poverty_rate
2022,17019001301,Champaign — Senior-heavy residential area,7.0,-0.6591811699530744,-0.6591811699530744,poverty_rate
2022,17019001302,Savoy — Senior-heavy residential area,5.2,-0.7338250140997921,-0.7338250140997921,poverty_rate
2022,17019001400,Census Tract 14 — Family-oriented residential area,15.4,-0.3108432306017249,-0.3108432306017249,poverty_rate
2022,17019005300,Urbana — Student-dense area,44.3,0.8876051559761319,0.8876051559761319,poverty_rate
2022,17019005401,Census Tract 54.01 — Mixed residential area,20.5,-0.09935233885269137,-0.09935233885269137,poverty_rate
2022,17019005402,Census Tract 54.02 — Senior-heavy residential area,20.7,-0.09105857839194499,-0.09105857839194499,poverty_rate
2022,17019005500,Urbana — Senior-heavy residential area,21.7,-0.04958977608821292,-0.04958977608821292,poverty_rate
2022,17019005601,Urbana — Mixed residential area,11.6,-0.4684246793559068,-0.4684246793559068,poverty_rate
2022,17019005602,Census Tract 56.02 — Senior-heavy residential area,16.5,-0.26522754806761967,-0.26522754806761967,poverty_rate
2022,17019005701,Urbana — Senior-heavy residential area,19.3,-0.14911490161716984,-0.14911490161716984,poverty_rate
2022,17019005702,Census Tract 57.02 — Senior-heavy residential area,2.0,-0.8665251814717347,-0.8665251814717347,poverty_rate
2022,17019005800,Urbana — Higher economic stress area,36.2,0.5517078573159023,0.5517078573159023,poverty_rate
2022,17019005901,Urbana — Student-dense area,78.2,2.2933975540726497,2.2933975540726497,poverty_rate
2022,17019005902,Urbana — Student-dense area,59.5,1.5179309509928596,1.5179309509928596,poverty_rate
2022,17019006000,Census Tract 60 — Student-dense area,31.0,0.3360700853364954,0.3360700853364954,poverty_rate
2022,17019010100,Census Tract 101 — Mixed residential area,7.4,-0.6425936490315816,-0.6425936490315816,poverty_rate
2022,17019010204,Rantoul — Mixed residential area,24.8,0.07896351105335657,0.07896351105335657,poverty_rate
2022,17019010300,Rantoul — Family-oriented residential area,29.6,0.27801376211127055,0.27801376211127055,poverty_rate
2022,17019010400,Census Tract 104 — Senior-heavy residential area,7.3,-0.6467405292619547,-0.6467405292619547,poverty_rate
2022,17019010500,Fisher — Family-oriented residential area,3.1,-0.8209094989376293,-0.8209094989376293,poverty_rate
2022,17019010601,Census Tract 106.01 — Family-oriented residential area,2.2,-0.8582314210109884,-0.8582314210109884,poverty_rate
2022,17019010603,Mahomet — Family-oriented residential area,5.8,-0.7089437327175528,-0.7089437327175528,poverty_rate
2022,17019010604,Census Tract 106.04 — Senior-heavy residential area,9.3,-0.5638029246544906,-0.5638029246544906,poverty_rate
2022,17019010701,St. Joseph — Family-oriented residential area,6.5,-0.6799155711049404,-0.6799155711049404,poverty_rate
2022,17019010702,Census Tract 107.02 — Family-oriented residential area,6.1,-0.6965030920264333,-0.6965030920264333,poverty_rate
2022,17019010800,Census Tract 108 — Senior-heavy residential area,8.7,-0.5886842060367299,-0.5886842060367299,poverty_rate
2022,17019010901,Census Tract 109.01 — Family-oriented residential area,5.4,-0.7255312536390456,-0.7255312536390456,poverty_rate
2022,17019010902,Census Tract 109.02 — Family-oriented residential area,4.5,-0.7628531757124045,-0.7628531757124045,poverty_rate
2022,17019011001,Champaign — Mixed residential area,9.4,-0.5596560444241173,-0.5596560444241173,poverty_rate
2022,17019011002,Champaign — Higher-income residential area,8.1,-0.6135654874189691,-0.6135654874189691,poverty_rate
2022,17019011100,Urbana — Student-dense area,52.9,1.2442368557882277,1.2442368557882277,poverty_rate
2023,17019000200,Champaign — Higher economic stress area,45.1,0.9545173749580443,0.9545173749580443,poverty_rate
2023,17019000301,Champaign — Student-dense area,86.7,2.6937091755933427,2.6937091755933427,poverty_rate
2023,17019000302,Champaign — Student-dense area,60.4,1.594172051634007,1.594172051634007,poverty_rate
2023,17019000401,Champaign — Student-dense area,90.7,2.8609391564236595,2.8609391564236595,poverty_rate
2023,17019000402,Champaign — Student-dense area,87.8,2.7396974203216793,2.7396974203216793,poverty_rate
2023,17019000500,Champaign — Mixed residential area,17.2,-0.2119117413334175,-0.2119117413334175,poverty_rate
2023,17019000700,Champaign — Mixed residential area,24.8,0.10582522224418504,0.10582522224418504,poverty_rate
2023,17019000800,Champaign — Mixed residential area,12.5,-0.4084069688090401,-0.4084069688090401,poverty_rate
2023,17019000901,Champaign — Family-oriented residential area,13.7,-0.358237974559945,-0.358237974559945,poverty_rate
2023,17019000902,Census Tract 9.02 — Family-oriented residential area,7.8,-0.6049021962846627,-0.6049021962846627,poverty_rate
2023,17019001000,Champaign — Mixed residential area,21.8,-0.019597263378552787,-0.019597263378552787,poverty_rate
2023,17019001100,Champaign — Senior-heavy residential area,5.6,-0.6968786857413372,-0.6968786857413372,poverty_rate
2023,17019001201,Champaign — Mixed residential area,24.6,0.09746372320266922,0.09746372320266922,poverty_rate
2023,17019001203,Champaign — Senior-heavy residential area,3.3,-0.7930359247187694,-0.7930359247187694,poverty_rate
2023,17019001204,Champaign — Family-oriented residential area,4.0,-0.7637706780734639,-0.7637706780734639,poverty_rate
2023,17019001205,Champaign — Family-oriented residential area,10.3,-0.5003834582657145,-0.5003834582657145,poverty_rate
2023,17019001206,Census Tract 12.06 — Senior-heavy residential area,3.9,-0.7679514275942219,-0.7679514275942219,poverty_rate
2023,17019001301,Champaign — Senior-heavy residential area,5.0,-0.7219631828658847,-0.7219631828658847,poverty_rate
2023,17019001302,Savoy — Senior-heavy residential area,7.2,-0.6299866934092103,-0.6299866934092103,poverty_rate
2023,17019001400,Census Tract 14 — Family-oriented residential area,11.8,-0.43767221545434554,-0.43767221545434554,poverty_rate
2023,17019005300,Urbana — Student-dense area,42.9,0.8625408855013699,0.8625408855013699,poverty_rate
2023,17019005401,Census Tract 54.01 — Mixed residential area,15.2,-0.2955267317485761,-0.2955267317485761,poverty_rate
2023,17019005402,Census Tract 54.02 — Senior-heavy residential area,18.8,-0.1450197490012906,-0.1450197490012906,poverty_rate
2023,17019005500,Urbana — Senior-heavy residential area,18.6,-0.15338124804280645,-0.15338124804280645,poverty_rate
2023,17019005601,Urbana — Mixed residential area,12.8,-0.3958647202467663,-0.3958647202467663,poverty_rate
2023,17019005602,Census Tract 56.02 — Senior-heavy residential area,14.4,-0.32897272791463944,-0.32897272791463944,poverty_rate
2023,17019005701,Urbana — Senior-heavy residential area,13.8,-0.354057225039187,-0.354057225039187,poverty_rate
2023,17019005702,Census Tract 57.02 — Senior-heavy residential area,1.1,-0.8850124141754437,-0.8850124141754437,poverty_rate
2023,17019005800,Urbana — Higher economic stress area,30.6,0.3483086944481449,0.3483086944481449,poverty_rate
2023,17019005901,Urbana — Student-dense area,69.4,1.970439508502221,1.970439508502221,poverty_rate
2023,17019005902,Urbana — Student-dense area,66.8,1.8617400209625146,1.8617400209625146,poverty_rate
2023,17019006000,Census Tract 60 — Student-dense area,30.2,0.3315856963651131,0.3315856963651131,poverty_rate
2023,17019010100,Census Tract 101 — Mixed residential area,6.9,-0.642528941971484,-0.642528941971484,poverty_rate
2023,17019010204,Rantoul — Mixed residential area,20.1,-0.09067000523143752,-0.09067000523143752,poverty_rate
2023,17019010300,Rantoul — Family-oriented residential area,30.1,0.3274049468443552,0.3274049468443552,poverty_rate
2023,17019010400,Census Tract 104 — Senior-heavy residential area,8.2,-0.588179198201631,-0.588179198201631,poverty_rate
2023,17019010500,Fisher — Family-oriented residential area,2.2,-0.8390241694471067,-0.8390241694471067,poverty_rate
2023,17019010601,Census Tract 106.01 — Family-oriented residential area,2.1,-0.8432049189678645,-0.8432049189678645,poverty_rate
2023,17019010603,Mahomet — Family-oriented residential area,6.0,-0.6801556876583054,-0.6801556876583054,poverty_rate
2023,17019010604,Census Tract 106.04 — Senior-heavy residential area,11.7,-0.4418529649751035,-0.4418529649751035,poverty_rate
