tract_geoid,display_area_label,primary_place,primary_zip,landmark_context_note,tract_number,2019,2021,2022,2023,metric,change_first_to_last,change_2019_to_2021,change_2021_to_2022,change_2022_to_2023
17019010204,Rantoul — Mixed residential area,Rantoul,61866.0,General tract context note not flagged by the current rule set.,102.04,16.4,21.0,24.8,20.1,poverty_rate,3.700000000000003,4.600000000000001,3.8000000000000007,-4.699999999999999
17019010300,Rantoul — Family-oriented residential area,Rantoul,61866.0,Renter-heavy housing profile; higher poverty rate; more households with children.,103,27.1,29.6,29.6,30.1,poverty_rate,3.0,2.5,0.0,0.5
17019010400,Rantoul — Senior-heavy residential area,Rantoul,61866.0,Older age profile.,104,7.7,6.6,7.3,8.2,poverty_rate,0.4999999999999991,-1.1000000000000005,0.7000000000000002,0.8999999999999995
17019010500,Fisher — Family-oriented residential area,Fisher,61843.0,More households with children; older age profile.,105,4.1,3.7,3.1,2.2,poverty_rate,-1.8999999999999995,-0.39999999999999947,-0.6000000000000001,-0.8999999999999999
17019010601,Mahomet — Family-oriented residential area,Mahomet,61853.0,More households with children.,106.01,1.6,1.2,2.2,2.1,poverty_rate,0.5,-0.40000000000000013,1.0000000000000002,-0.10000000000000009
17019010603,Mahomet — Family-oriented residential area,Mahomet,61853.0,More households with children.,106.03,8.1,5.2,5.8,6.0,poverty_rate,-2.0999999999999996,-2.8999999999999995,0.5999999999999996,0.20000000000000018
17019010604,Champaign — Senior-heavy residential area,Champaign,61822.0,Older age profile.,106.04,12.0,5.4,9.3,11.7,poverty_rate,-0.3000000000000007,-6.6,3.9000000000000004,2.3999999999999986
17019010800,Sidney — Senior-heavy residential area,Sidney,61877.0,More households with children; older age profile.,108,7.7,7.3,8.7,7.5,poverty_rate,-0.20000000000000018,-0.40000000000000036,1.3999999999999995,-1.1999999999999993
17019011100,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,111,56.3,52.6,52.9,45.9,poverty_rate,-10.399999999999999,-3.6999999999999957,0.29999999999999716,-7.0
17019000200,Champaign — Higher economic stress area,Champaign,61820.0,Higher poverty rate; more very-low-income households.,2,12.2,9.3,9.7,10.5,unemployment_rate,-1.6999999999999993,-2.8999999999999986,0.3999999999999986,0.8000000000000007
