"Column Name","Label"
"S2401_C04_017M","Median earnings (dollars)!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians"
"S2401_C05_017E","Median earnings (dollars) for male!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians"
"S2401_C05_017M","Median earnings (dollars) for male!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians"
"S2401_C06_017E","Median earnings (dollars) for female!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians"
"S2401_C06_017M","Median earnings (dollars) for female!!Margin of Error!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations!!Health technologists and technicians"
"S2401_C01_018E","Total!!Estimate!!Service occupations"
"S2401_C01_018M","Total!!Margin of Error!!Service occupations"
"S2401_C02_018E","Male!!Estimate!!Service occupations"
"S2401_C02_018M","Male!!Margin of Error!!Service occupations"
"S2401_C03_018E","Female!!Estimate!!Service occupations"
"S2401_C03_018M","Female!!Margin of Error!!Service occupations"
"S2401_C04_018E","Median earnings (dollars)!!Estimate!!Service occupations"
"S2401_C04_018M","Median earnings (dollars)!!Margin of Error!!Service occupations"
"S2401_C05_018E","Median earnings (dollars) for male!!Estimate!!Service occupations"
"S2401_C05_018M","Median earnings (dollars) for male!!Margin of Error!!Service occupations"
"S2401_C06_018E","Median earnings (dollars) for female!!Estimate!!Service occupations"
"S2401_C06_018M","Median earnings (dollars) for female!!Margin of Error!!Service occupations"
"S2401_C01_019E","Total!!Estimate!!Service occupations!!Healthcare support occupations"
"S2401_C01_019M","Total!!Margin of Error!!Service occupations!!Healthcare support occupations"
"S2401_C02_019E","Male!!Estimate!!Service occupations!!Healthcare support occupations"
"S2401_C02_019M","Male!!Margin of Error!!Service occupations!!Healthcare support occupations"
"S2401_C03_019E","Female!!Estimate!!Service occupations!!Healthcare support occupations"
"S2401_C03_019M","Female!!Margin of Error!!Service occupations!!Healthcare support occupations"
"S2401_C04_019E","Median earnings (dollars)!!Estimate!!Service occupations!!Healthcare support occupations"
"S2401_C04_019M","Median earnings (dollars)!!Margin of Error!!Service occupations!!Healthcare support occupations"
